Complex_Phrase,frequency,length,aoa,syllable_count,binary_complex,familiarity,concreteness,imaginability,aoa_gpt,CEFR_Level,cluster
route,4.67,5,2.0,1,0,4.0,3.2,3.5,6.5,B1,2
achieved,4.49,8,3.87,2,1,4.0,2.0,2.5,7.0,B1,2
rallies,3.64,7,7.3483333333333585,2,1,3.5,2.8,2.7,8.5,B2,1
lengthy,3.85,7,4.0,2,0,3.5,2.0,2.5,8.0,B2,3
immediate,4.52,9,6.0,4,0,4.0,2.0,2.5,6.0,B1,5
refuse,4.39,6,4.0,2,0,4.0,2.5,2.0,7.0,B1,2
versions,4.35,8,4.0,2,1,3.5,2.0,2.0,8.5,B2,3
detrimental,3.55,11,14.0,4,1,3.5,2.0,2.5,12.0,C1,0
hard,5.53,4,2.0,1,0,4.5,3.5,3.0,3.0,A1,2
advanced,4.71,8,4.0,2,0,4.0,2.0,2.5,8.0,B1,2
internal,4.66,8,8.0,3,0,3.5,2.0,2.5,8.0,B2,0
altimeter,2.48,9,8.0,4,1,2.5,3.5,3.0,12.0,C1,1
spot,4.89,4,4.0,1,0,4.5,4.2,4.0,3.0,A2,4
aimed,4.25,5,7.0,2,1,3.5,2.0,2.5,5.0,B1,3
great,5.88,5,2.0,1,0,4.5,2.0,2.5,3.0,A1,2
airborne,3.67,8,6.0,2,1,3.8,3.2,3.0,8.5,C1,1
meddling,3.3,8,8.0,2,1,3.0,2.0,2.5,8.0,C1,3
reinforcements,3.48,14,8.0,4,1,3.8,3.2,3.0,8.5,B2,0
raise,4.75,5,2.0,1,1,4.2,2.5,2.8,4.0,B1,2
charade,2.9,7,8.0,2,1,3.0,2.0,2.5,8.0,C1,3
devious,3.03,7,12.0,2,1,3.5,2.0,2.5,10.5,C1,3
excluded,3.89,8,2.0,3,1,3.0,2.0,2.5,8.0,B2,0
mourning,3.69,8,6.0,2,1,3.5,2.0,2.5,8.0,C1,3
against,5.68,7,2.0,2,0,4.0,1.5,1.5,5.0,A2,5
sound,5.15,5,2.0,1,1,4.5,3.5,3.0,3.0,A1,2
flooding,3.97,8,4.0,2,1,4.2,3.8,4.0,6.5,B1,1
deposits,4.0,8,6.0,3,0,3.8,3.2,2.5,8.0,B2,0
neighbor,4.11,8,2.0,2,1,4.5,3.0,3.5,4.0,A1,1
statements,4.51,10,6.350283333333335,2,1,3.5,2.0,2.5,7.0,A2,3
escape,4.64,6,2.0,2,1,4.5,3.0,3.5,5.0,B1,2
populated,3.79,9,6.0,4,1,3.5,2.5,2.0,8.0,B2,0
articles,4.71,8,2.0,3,0,4.0,2.0,2.5,5.0,A1,5
planned,4.69,7,2.0,1,0,4.0,2.0,2.5,5.0,B1,2
kg,4.08,2,9.71,1,0,4.0,3.0,2.0,8.0,A1,1
regulations,4.5,11,6.875,4,0,4.0,2.0,2.5,10.0,B2,0
falling,4.66,7,3.4525000000000072,2,1,4.0,3.0,3.5,3.5,A2,1
nails,4.04,5,2.0,1,1,4.2,4.5,4.0,3.0,A2,4
press,5.16,5,2.0,1,0,4.5,3.0,2.5,4.0,A2,2
diplomatically,2.58,14,10.561574999999994,6,1,3.0,1.5,1.5,12.0,C1,0
experts,4.52,7,4.5714285714286085,2,1,4.0,2.5,3.0,8.0,B1,2
improperly,3.35,10,11.045075,4,1,3.0,1.5,1.5,8.0,B2,0
companies,5.18,9,3.8795833333333207,3,0,4.2,2.5,2.8,8.0,A2,5
album,5.02,5,2.0,2,0,4.2,3.5,3.8,6.0,A2,1
tool,4.56,4,4.0,1,0,4.5,4.7,4.3,3.5,A2,4
host,4.77,4,2.0,1,1,4.0,3.0,3.5,5.0,B1,2
craft,4.3,5,6.0,1,1,4.2,3.8,4.0,5.0,B2,2
erring,2.31,6,14.0,2,1,2.5,2.0,2.0,12.0,C1,0
tweeted,4.09,7,5.5,2,1,4.0,2.0,2.5,12.0,B2,3
definitely,4.96,10,8.0,4,1,4.5,1.5,1.2,7.0,B1,5
deployments,3.15,11,11.19409583333335,3,1,3.0,2.5,2.0,12.0,C1,0
invading,3.5,8,6.0,3,1,3.0,2.5,3.5,8.0,B2,0
paleoanthropology,1.46,17,14.270250000000011,6,1,2.0,2.0,2.5,25.0,C1,0
smell,4.49,5,2.0,1,0,4.5,3.5,4.0,3.0,A1,4
kicked,4.38,6,4.0,2,0,4.0,3.5,3.0,3.0,A1,1
contacted,4.0,9,6.495,3,0,4.0,2.0,2.5,6.5,B1,0
ingesting,2.8,9,3.2250000000000005,3,1,3.5,3.0,3.0,10.0,C1,0
bold,4.26,4,4.0,1,0,4.0,2.0,3.0,5.0,B1,2
adjustment,3.88,10,2.0,3,0,3.5,2.5,2.0,8.0,B2,0
houses,4.72,6,6.0,2,0,4.7,4.8,4.6,3.0,A1,4
senator,4.58,7,6.0,3,0,4.0,2.5,2.0,8.0,B2,5
tallest,3.5,7,7.199999999999971,2,0,4.0,3.0,3.5,6.5,A1,1
downplayed,2.72,10,9.594000000000058,2,1,3.0,2.0,2.5,10.0,C1,3
blocked,4.31,7,7.5999999999999455,2,1,3.5,2.5,2.0,5.0,B1,3
fate,4.36,4,8.0,1,0,4.0,2.0,3.0,8.0,B2,1
swipe,3.58,5,6.0,1,1,3.5,2.5,2.0,8.0,B2,3
media,5.3,5,10.0,3,0,4.5,2.5,2.0,8.0,B1,2
roux,3.01,4,15.0,1,0,2.5,3.0,2.0,12.0,C1,1
stood,4.57,5,4.0,1,1,4.0,2.0,2.5,3.5,A2,2
question,5.35,8,2.0,2,0,4.5,2.0,2.5,3.5,A1,2
science,5.12,7,4.0,2,0,4.5,3.0,3.5,7.0,A2,1
zoological,3.03,10,8.0,4,0,3.5,3.0,3.0,12.0,C1,0
economy,4.87,7,8.0,4,0,4.2,2.5,2.0,8.0,B1,5
increased,4.91,9,4.011000000000001,2,0,4.0,2.0,2.5,6.5,B1,2
decided,5.09,7,10.0,3,0,4.0,2.0,2.5,5.0,A2,5
workers,4.95,7,5.733333333333333,2,1,4.2,3.8,3.5,4.0,A1,1
online,5.19,6,3.5999999999999854,2,0,4.5,2.0,2.5,8.0,A2,2
difficult,5.07,9,2.0,3,0,4.0,2.0,2.5,6.0,A2,5
spelling,4.0,8,2.0,2,0,4.0,2.0,2.5,6.0,A1,2
room,5.39,4,2.0,1,0,4.5,4.2,4.0,3.5,A1,4
harboring,2.84,9,3.0421500000000004,3,1,3.2,2.8,2.5,8.5,C1,0
shoulder,4.5,8,2.0,2,0,4.6,4.7,4.5,3.5,A2,4
civilian,4.23,8,6.0,3,0,4.0,2.5,2.0,8.0,B2,5
charged,4.62,7,2.24,1,1,3.8,2.5,2.2,7.0,B2,3
misconduct,3.66,10,6.0,3,1,3.5,2.0,2.5,10.0,C1,0
church,5.16,6,2.0,1,0,4.2,4.5,4.0,4.0,A1,4
bureau,4.41,6,6.0,2,0,3.0,2.5,2.0,10.0,B2,3
campus,4.51,6,6.0,2,0,4.2,3.5,3.8,8.0,B1,1
inconclusive,3.13,12,13.0,4,1,3.0,2.0,2.0,12.0,C1,0
miles,5.0,5,2.065,1,1,4.0,3.0,2.5,6.0,A1,2
save,5.14,4,2.0,1,0,4.5,3.0,2.5,4.0,A2,2
justice,4.97,7,4.0,2,0,4.5,2.0,2.5,8.0,B2,2
rat,4.17,3,2.0,1,0,4.2,4.5,4.3,3.0,A1,4
attended,4.47,8,4.4925,3,1,4.0,1.5,1.5,5.0,A2,0
another,5.74,7,2.0,3,0,4.0,1.5,1.5,3.0,A1,5
passed,4.92,6,2.2399999999999993,1,0,4.0,2.0,2.5,3.0,A2,2
sung,3.91,4,4.0,1,0,3.5,2.5,2.0,4.0,A2,3
ruler,3.84,5,2.0,2,0,4.2,4.5,3.8,5.0,A1,4
ceremonially,2.11,12,10.227774999999966,5,1,3.0,2.0,2.5,12.0,C1,0
premiers,3.12,8,8.551899999999963,2,0,3.0,2.0,2.5,12.0,B2,3
tournaments,3.84,11,7.080975000000002,3,1,4.0,3.2,3.5,8.0,B1,1
surrounded,4.36,10,7.962749999999997,2,1,3.8,2.5,3.0,6.5,B1,2
board,5.24,5,2.0,1,0,4.5,4.2,3.8,3.5,A2,4
system,5.56,6,6.0,2,0,4.0,2.5,2.0,8.0,A2,2
phenomenon,4.13,10,10.0,4,1,3.5,2.0,2.5,12.0,B2,0
troop,3.69,5,2.0,1,0,4.2,3.8,3.5,6.5,B2,2
concrete,4.44,8,4.0,2,0,4.0,4.5,3.5,7.0,B2,1
suspicious,4.09,10,4.0,3,1,3.5,2.0,2.5,8.0,B2,0
swat,3.46,4,4.0,1,1,3.0,3.5,3.0,10.0,B2,1
bounce,4.02,6,2.0,1,0,4.0,4.2,4.1,3.5,B1,4
put,5.66,3,2.0,1,0,4.5,2.5,2.0,3.0,A1,2
envenomation,1.47,12,16.07899999999999,5,1,1.5,2.0,2.5,15.0,C1,0
ants,3.72,4,4.0,1,0,4.5,4.8,4.7,3.0,A1,4
lobe,3.3,4,10.0,1,1,3.0,3.5,2.5,10.0,B2,1
photograph,4.23,10,4.0,3,0,4.7,4.5,4.6,4.0,A2,1
activists,4.13,9,7.42857142857144,3,1,4.0,2.5,3.0,10.0,B2,0
rebound,3.53,7,6.0,2,1,3.8,3.2,3.0,8.0,B2,1
annexation,3.42,10,8.0,4,1,3.0,2.0,2.5,12.0,C1,0
final,5.28,5,4.0,2,1,4.0,2.5,2.0,7.0,A2,2
gunpowder,3.26,9,4.0,3,0,3.5,4.5,4.0,10.0,B2,1
parasite,3.51,8,8.0,3,1,3.0,3.5,3.0,10.0,B2,1
selling,4.81,7,6.0,2,0,4.0,2.5,2.0,5.0,A2,2
expose,3.98,6,6.0,2,0,3.7,2.8,2.5,6.5,B2,1
winners,4.43,7,6.0,2,0,4.5,3.0,3.5,6.0,A1,2
