Complex_Phrase,frequency,length,aoa,syllable_count,binary_complex,familiarity,concreteness,imaginability,aoa_gpt,CEFR_Level,cluster
dangerous,4.79,9,2.0,3,0,4.2,2.3,3.8,6.5,A2,1
dangerous,4.79,9,2.0,3,0,4.5,2.0,3.0,5.0,A2,5
their,6.33,5,2.0,1,0,4.5,1.5,1.2,3.0,A1,2
run,5.49,3,2.0,1,0,4.5,2.5,3.0,3.0,A1,2
run,5.49,3,2.0,1,0,4.5,2.5,3.0,3.0,A1,2
race,5.08,4,2.0,1,0,4.2,3.5,3.8,4.0,A2,4
race,5.08,4,2.0,1,0,4.2,3.0,3.5,3.5,A2,2
cloud,4.46,5,2.0,1,0,4.2,3.5,4.0,3.0,A1,4
girl,5.38,4,2.0,1,0,4.7,4.8,4.6,2.5,A1,4
girl,5.38,4,2.0,1,0,4.7,4.8,4.6,2.5,A1,4
night,5.61,5,2.0,1,1,4.5,3.5,4.0,3.0,A1,4
blow,4.59,4,2.0,1,0,4.0,3.0,3.5,3.5,B1,2
love,5.82,4,2.0,1,0,4.8,2.0,3.5,3.0,A1,2
deep,5.05,4,2.0,1,0,4.5,3.0,3.5,4.0,A2,2
deep,5.05,4,2.0,1,0,4.5,3.0,3.5,4.0,A2,2
newspaper,4.6,9,2.0,3,0,4.8,4.5,4.2,5.0,A1,4
newspaper,4.6,9,2.0,3,0,4.8,4.5,4.2,5.0,A1,4
nickname,3.91,8,2.0,2,1,4.0,2.5,3.0,6.0,B1,2
quarter,4.72,7,2.0,2,1,4.2,3.5,3.0,5.0,A2,1
quarter,4.72,7,2.0,2,1,4.5,3.5,3.0,5.0,A2,1
boom,4.33,4,2.0,1,1,4.2,3.5,3.8,4.0,B2,2
cut,5.24,3,2.0,1,0,4.5,4.2,3.8,3.0,A1,4
cut,5.24,3,2.0,1,0,4.2,3.5,3.0,3.0,A1,2
breathe,4.26,7,2.0,1,0,4.0,2.5,3.0,3.5,B1,2
breathe,4.26,7,2.0,1,0,4.2,2.5,3.0,3.5,B1,2
control,5.4,7,2.0,2,0,4.0,2.5,2.0,5.0,B1,2
control,5.4,7,2.0,2,0,4.2,2.5,2.0,4.0,B1,2
branch,4.58,6,2.0,1,1,4.2,4.5,4.3,4.0,B1,4
brake,3.95,5,2.0,1,1,4.5,4.8,4.2,5.0,A2,4
brake,3.95,5,2.0,1,1,4.5,4.8,4.2,5.0,A2,4
neighborhood,4.5,12,2.0,3,0,4.5,3.5,3.0,5.0,B1,1
lives,5.14,5,2.0,1,0,4.2,3.0,3.5,3.5,A1,2
cover,5.08,5,2.0,2,0,4.0,3.0,2.5,3.5,A2,2
cover,5.08,5,2.0,2,0,4.0,3.0,3.5,3.5,A2,1
star,5.19,4,2.0,1,0,4.5,3.5,4.0,3.0,A1,4
bought,4.91,6,2.0,1,0,4.2,2.5,2.0,4.0,A1,2
nest,4.07,4,2.0,1,0,4.2,4.5,4.6,3.0,A1,4
nest,4.07,4,2.0,1,0,4.2,4.7,4.8,3.5,A1,4
measure,4.65,7,2.0,2,1,4.0,2.5,2.0,5.0,B1,2
measure,4.65,7,2.0,2,1,4.0,2.5,2.0,6.0,B1,2
line,5.49,4,2.0,1,0,4.2,3.5,3.0,3.0,A1,2
bore,3.93,4,2.0,1,1,3.0,2.5,2.0,6.0,B1,3
die,5.07,3,2.0,1,0,4.5,3.0,3.5,4.0,A1,2
die,5.07,3,2.0,1,0,4.0,2.5,2.0,4.0,A1,2
block,4.88,5,2.0,1,0,4.2,4.5,4.0,3.0,A2,4
visit,5.04,5,2.0,2,1,4.2,2.8,2.5,3.5,A1,2
enter,4.81,5,2.0,2,0,4.2,2.5,2.0,4.0,A2,2
enter,4.81,5,2.0,2,0,4.2,2.5,2.0,4.0,A2,2
bill,5.15,4,2.0,1,0,4.5,3.0,2.5,4.0,A2,2
bill,5.15,4,2.0,1,0,4.5,3.0,2.5,4.0,A2,2
poem,4.25,4,2.0,2,0,4.0,2.5,3.5,6.0,B1,2
equal,4.65,5,2.0,2,0,4.0,2.5,2.0,6.0,A2,2
equal,4.65,5,2.0,2,0,4.0,2.5,2.0,6.0,A2,2
cause,5.35,5,2.0,1,0,4.0,2.0,2.5,5.0,A2,2
honey,4.37,5,2.0,2,0,4.5,4.8,4.7,3.0,A2,4
honey,4.37,5,2.0,2,0,4.5,4.8,4.7,3.0,A2,4
beyond,4.98,6,2.0,2,1,4.0,2.0,2.5,8.0,B1,2
same,5.8,4,2.0,1,0,4.5,2.0,2.0,3.0,A1,2
believe,5.51,7,2.0,2,0,4.5,2.0,2.5,4.0,A2,2
belief,4.46,6,2.0,2,0,4.0,2.0,2.5,6.0,B2,2
travel,5.0,6,2.0,2,0,4.5,3.0,3.5,5.0,A1,2
travel,5.0,6,2.0,2,0,4.5,3.0,3.5,4.0,A1,2
bean,3.98,4,2.0,1,0,4.5,4.8,4.2,3.5,A1,4
bean,3.98,4,2.0,1,0,4.5,4.8,4.2,3.5,A1,4
battle,4.94,6,2.0,2,0,4.1,3.2,3.8,6.5,B1,1
short,5.33,5,2.0,1,0,4.5,3.5,3.0,3.0,A1,2
short,5.33,5,2.0,1,0,4.5,3.5,3.0,3.0,A2,2
member,5.18,6,2.0,2,0,4.2,2.5,2.0,5.0,A2,2
member,5.18,6,2.0,2,0,4.5,2.5,2.0,5.0,A2,2
ending,4.68,6,2.0,2,0,4.0,2.0,2.5,5.0,B1,2
eighth,4.2,6,2.0,1,0,4.0,2.0,1.5,7.0,A1,3
eighth,4.2,6,2.0,1,0,4.0,2.0,2.5,6.5,A1,3
different,5.59,9,2.0,3,0,4.5,2.0,2.5,5.0,A1,5
different,5.59,9,2.0,3,0,4.5,2.0,2.5,4.0,A1,5
engine,4.84,6,2.0,2,0,4.2,4.5,3.8,6.0,A2,4
engine,4.84,6,2.0,2,0,4.2,4.5,3.8,6.0,A2,4
some,6.2,4,2.0,1,0,4.5,2.0,2.0,3.0,A1,2
blind,4.52,5,2.0,1,1,4.2,2.5,2.8,4.0,A2,2
blind,4.52,5,2.0,1,1,4.2,2.5,3.0,4.0,A2,2
purple,4.32,6,2.0,2,0,4.5,3.5,4.0,3.0,A1,1
blew,4.12,4,2.0,1,1,3.5,2.5,2.0,4.0,A2,3
blast,4.32,5,2.0,1,1,4.0,3.5,3.0,5.0,B2,2
blast,4.32,5,2.0,1,1,4.2,3.8,4.0,5.0,B2,2
inside,5.19,6,2.0,2,0,4.0,2.5,2.5,3.0,A1,2
bite,4.31,4,2.0,1,0,4.2,4.5,4.0,3.0,A2,4
bite,4.31,4,2.0,1,0,4.2,4.5,4.0,3.0,A2,4
ear,4.43,3,2.0,1,0,4.7,4.8,4.5,2.5,A1,4
ear,4.43,3,2.0,1,0,4.7,4.8,4.5,2.5,A1,4
easily,4.91,6,2.0,3,0,4.5,1.5,1.5,5.0,A2,5
blessing,4.06,8,2.0,2,1,4.0,2.5,3.0,5.0,B2,2
home,5.81,4,2.0,1,0,5.0,4.5,4.8,3.0,A1,4
home,5.81,4,2.0,1,0,4.8,4.5,4.7,3.0,A1,4
broadcast,4.39,9,2.0,2,1,4.0,2.5,2.0,8.0,B2,3
broadcast,4.39,9,2.0,2,1,4.2,2.5,2.8,8.0,B2,2
complete,5.1,8,2.0,2,0,4.0,2.5,2.0,5.0,A2,2
chase,4.44,5,2.0,1,1,4.5,4.2,4.3,4.0,B1,4
chase,4.44,5,2.0,1,1,4.2,3.8,3.5,4.0,B1,4
out,6.38,3,2.0,1,1,4.0,2.0,1.5,3.0,A1,2
them,6.19,4,2.0,1,0,4.5,1.5,1.5,3.0,A1,2
charge,5.02,6,2.0,1,1,4.2,2.5,2.8,4.0,B1,2
charge,5.02,6,2.0,1,1,4.2,2.5,2.8,4.0,B1,2
late,5.34,4,2.0,1,1,4.0,2.0,2.5,3.5,A1,2
late,5.34,4,2.0,1,1,4.5,2.0,2.5,4.0,A1,2
raw,4.53,3,2.0,1,0,3.0,3.5,2.5,4.0,B1,3
raw,4.53,3,2.0,1,0,3.2,3.0,2.8,3.5,B1,3
finish,4.91,6,2.0,2,0,4.5,2.0,2.5,3.5,A1,2
finish,4.91,6,2.0,2,0,4.5,2.0,2.5,3.5,A1,2
step,5.13,4,2.0,1,0,4.2,4.0,3.8,3.0,A1,4
step,5.13,4,2.0,1,0,4.2,4.0,3.5,3.0,A1,4
himself,5.25,7,2.0,2,0,4.5,1.5,1.5,3.5,A2,5
blood,5.1,5,2.0,1,1,4.7,4.5,4.2,3.0,A2,4
blood,5.1,5,2.0,1,1,4.7,4.5,4.2,3.0,A2,4
well,6.03,4,2.0,1,0,4.5,2.5,2.0,3.0,A1,2
well,6.03,4,2.0,1,0,4.5,3.5,3.0,3.0,A1,2
please,5.66,6,2.0,1,0,4.5,2.0,2.5,3.0,A1,2
please,5.66,6,2.0,1,0,4.5,2.0,2.5,3.0,A1,2
training,5.18,8,2.0,2,1,4.2,2.8,2.5,3.5,A2,2
blue,5.13,4,2.0,1,0,4.7,4.5,4.6,3.0,A1,4
musical,4.51,7,2.0,3,0,4.0,3.0,3.5,6.0,A2,1
musical,4.51,7,2.0,3,0,4.0,3.2,3.5,6.0,A2,1
cheerfulness,2.3,12,2.0,3,1,4.0,2.0,3.5,5.0,B2,0
climate,4.71,7,2.0,2,0,4.2,2.5,3.0,8.0,B1,2
murder,4.86,6,2.0,2,0,4.0,2.5,3.5,8.0,B1,1
up,6.39,2,2.0,1,1,4.5,3.0,3.5,2.5,A1,2
door,5.08,4,2.0,1,0,4.7,4.8,4.5,3.0,A1,4
door,5.08,4,2.0,1,0,4.7,4.8,4.5,3.0,A1,4
checkerboard,2.46,12,2.0,3,1,3.5,4.5,4.0,8.0,B2,1
bad,5.53,3,2.0,1,1,4.5,2.0,2.5,3.0,A1,2
bad,5.53,3,2.0,1,1,4.5,2.0,2.5,3.0,A1,2
chopped,3.78,7,2.0,2,1,3.8,4.2,3.5,4.0,B1,1
chopped,3.78,7,2.0,2,1,3.5,4.0,3.5,5.0,B1,1
chief,5.11,5,2.0,1,0,4.2,3.0,3.5,5.0,B2,2
chief,5.11,5,2.0,1,0,4.5,3.0,3.5,5.0,B2,2
red,5.32,3,2.0,1,0,4.8,4.5,4.7,2.5,A1,4
plans,5.01,5,2.0,1,0,4.0,2.5,2.0,5.0,A1,2
chest,4.52,5,2.0,1,0,4.3,4.7,4.5,3.5,A2,4
wire,4.43,4,2.0,1,0,4.0,4.2,3.8,5.0,B1,4
wire,4.43,4,2.0,1,0,4.2,4.5,3.8,4.0,B1,4
chemical,4.57,8,2.0,3,0,4.0,3.0,3.5,10.0,B1,0
chemical,4.57,8,2.0,3,0,4.0,3.0,2.5,10.0,B1,0
high,5.75,4,2.0,1,1,4.0,2.5,2.0,3.0,A1,2
high,5.75,4,2.0,1,1,4.0,2.5,2.0,3.0,A1,2
book,5.43,4,2.0,1,0,4.8,4.5,4.7,3.0,A1,4
celebrate,4.49,9,2.0,3,0,4.5,2.5,3.0,5.0,B1,5
celebrate,4.49,9,2.0,3,0,4.5,2.5,3.0,5.0,B1,5
ring,4.81,4,2.0,1,1,4.7,4.5,4.6,3.0,A1,4
cane,3.76,4,2.0,1,0,3.5,4.5,4.0,4.0,B2,1
choose,4.91,6,2.0,1,0,4.5,2.0,2.5,4.0,A2,2
range,5.12,5,2.0,1,1,4.0,3.0,3.5,5.0,B1,2
clean,4.97,5,2.0,1,0,4.5,4.0,3.5,3.0,A1,4
clearing,4.04,8,2.0,2,0,3.8,3.5,3.2,6.0,B2,1
clearing,4.04,8,2.0,2,0,3.8,3.2,3.5,6.5,B2,1
clearly,4.92,7,2.0,2,0,4.0,2.0,2.0,5.0,B1,2
coffee,4.86,6,2.0,2,0,4.8,4.5,4.2,3.0,A1,4
apartment,4.65,9,2.0,3,0,4.7,4.5,4.3,5.0,A1,4
ran,4.87,3,2.0,1,0,4.5,3.0,3.0,3.0,A1,2
come,5.78,4,2.0,1,0,4.5,1.5,1.5,3.0,A1,2
full,5.54,4,2.0,1,0,4.0,2.5,2.0,3.0,A1,2
burst,4.15,5,2.0,1,1,4.0,3.5,3.0,4.0,B2,2
burst,4.15,5,2.0,1,1,4.0,3.5,3.0,4.0,B2,2
burnt,4.03,5,2.0,1,1,4.2,3.5,3.8,4.0,B1,2
circle,4.55,6,2.0,2,1,4.5,4.2,4.3,3.0,A1,4
building,5.29,8,2.0,2,0,4.7,4.5,4.6,4.0,A1,4
building,5.29,8,2.0,2,0,4.7,4.5,4.6,4.0,A1,4
outside,5.25,7,2.0,2,0,4.5,4.2,4.3,3.0,A1,4
bubble,4.16,6,2.0,2,1,4.2,4.5,4.6,3.0,A2,4
bubble,4.16,6,2.0,2,1,4.2,4.5,4.3,3.0,A2,4
grounds,4.43,7,2.0,1,1,4.0,3.8,3.5,5.0,B2,2
buses,4.02,5,2.0,2,0,4.7,4.5,4.3,3.5,A1,4
child,5.3,5,2.0,1,0,4.9,4.8,4.7,2.5,A1,4
chicken,4.63,7,2.0,2,0,4.5,4.8,4.7,3.0,A1,4
chicken,4.63,7,2.0,2,0,4.5,4.8,4.7,3.0,A1,4
narrow,4.39,6,2.0,2,0,4.0,3.0,2.5,5.0,B1,2
