,word,complex_percentage,length,frequency,aoa,Familiarity,Concreteness
244,amusement,25.0,9,3.74,8.79,0.0,0.0
245,amygdala,70.0,8,2.84,,,
247,analysis,15.0,8,4.91,11.32,0.0,0.0
248,analyst,16.0,7,4.03,11.75,0.0,0.0
249,analysts,45.0,8,3.84,,0.0,0.0
251,ancestors,50.0,9,3.98,,0.0,0.0
252,anchored,30.0,8,3.46,,0.0,0.0
253,ancient,20.0,7,4.68,8.26,429.0,0.0
256,android,6.666666666666667,7,4.42,13.89,0.0,0.0
259,anew,30.0,4,3.2,,0.0,0.0
261,angel,0.0,5,4.45,4.0,470.0,399.0
262,anger,10.0,5,4.42,6.0,541.0,315.0
263,angered,40.0,7,3.29,,0.0,0.0
264,angers,20.0,6,2.91,,0.0,0.0
265,angled,20.0,6,3.27,,0.0,0.0
266,angry,10.0,5,4.66,4.45,600.0,0.0
268,annexation,100.0,10,3.42,13.85,0.0,0.0
269,annexed,45.0,7,3.5,,0.0,0.0
270,anniversary,20.0,11,4.53,7.33,0.0,0.0
272,announce,15.0,8,4.26,9.48,0.0,0.0
273,announced,12.333333333333334,9,4.96,,0.0,0.0
274,announcement,25.0,12,4.31,7.75,519.0,368.0
275,announces,0.0,9,3.94,,0.0,0.0
276,announcing,10.0,10,3.87,,0.0,0.0
277,annual,6.666666666666667,6,4.94,9.26,464.0,0.0
278,annually,30.0,8,4.16,,0.0,0.0
279,annul,37.142857142857146,5,2.49,12.65,0.0,0.0
280,anode,90.0,5,2.86,15.0,0.0,0.0
281,anonymity,50.0,9,3.39,13.44,0.0,0.0
282,anonymous,80.0,9,4.17,10.26,0.0,0.0
283,another,0.0,7,5.74,,0.0,0.0
284,ant,10.0,3,3.86,4.32,511.0,604.0
294,antitrust,20.0,9,3.37,14.88,,
295,antivenom,80.0,9,2.01,,,
297,ants,10.0,4,3.72,,0.0,0.0
299,anxiety,40.0,7,4.45,8.17,548.0,241.0
300,anxious,10.0,7,4.09,10.21,544.0,0.0
301,anyone,0.0,6,5.38,,605.0,0.0
304,apart,20.0,5,4.78,,555.0,304.0
305,apartment,0.0,9,4.65,7.8,491.0,575.0
306,aphid,25.0,5,2.39,10.7,0.0,0.0
307,aphids,70.0,6,2.63,,0.0,0.0
310,apologies,15.0,9,3.85,,0.0,0.0
311,appalling,100.0,9,3.46,12.21,0.0,0.0
312,apparent,13.333333333333334,8,4.32,10.25,531.0,0.0
313,apparently,26.0,10,4.8,,0.0,0.0
314,appeal,18.333333333333332,6,4.67,10.21,514.0,333.0
315,appealed,53.333333333333336,8,3.83,,0.0,0.0
316,appealing,43.333333333333336,9,3.95,,0.0,0.0
317,appear,15.0,6,4.85,6.67,534.0,271.0
318,appearance,30.0,10,4.69,8.83,578.0,358.0
319,appearances,15.0,11,4.09,,0.0,0.0
320,appeared,17.857142857142858,8,4.83,,0.0,0.0
321,appearing,15.0,9,4.15,,0.0,0.0
322,appears,0.0,7,4.84,,0.0,0.0
323,appetite,80.0,8,3.87,8.83,0.0,0.0
324,application,10.0,11,4.86,9.39,0.0,0.0
325,applications,10.0,12,4.64,,0.0,0.0
326,applying,0.0,8,4.24,,0.0,0.0
327,appoint,10.0,7,3.7,10.29,0.0,0.0
328,appointed,20.0,9,4.59,,0.0,0.0
329,approached,15.714285714285714,10,4.16,,0.0,0.0
330,approval,14.444444444444445,8,4.5,7.95,526.0,267.0
331,approvals,12.5,9,3.13,,,
332,approve,0.0,7,4.08,7.89,0.0,0.0
333,approved,6.666666666666667,8,4.64,,0.0,0.0
334,approves,5.0,8,3.42,,0.0,0.0
335,approximately,27.5,13,4.64,,0.0,0.0
336,aqua,30.0,4,3.43,,0.0,0.0
344,arc,10.0,3,4.21,,397.0,471.0
345,arch,26.666666666666668,4,4.02,8.26,483.0,512.0
346,archangels,30.0,10,2.38,,0.0,0.0
347,archbishop,0.0,10,3.82,10.45,0.0,0.0
348,architect,36.0,9,4.08,10.12,0.0,0.0
349,architectural,20.0,13,3.96,12.25,0.0,0.0
350,architecture,30.0,12,4.42,10.06,0.0,0.0
351,archivist,30.0,9,2.8,13.79,0.0,0.0
352,archivists,50.0,10,2.48,,0.0,0.0
353,area,10.0,4,5.46,6.58,560.0,384.0
354,areas,14.0,5,5.15,,0.0,0.0
355,arena,12.5,5,4.33,9.57,0.0,0.0
356,argues,20.0,6,4.04,,0.0,0.0
357,arguments,40.0,9,4.33,,0.0,0.0
359,arise,20.0,5,3.93,6.89,409.0,0.0
361,armed,7.5,5,4.59,8.72,0.0,0.0
362,arming,10.0,6,3.14,,0.0,0.0
363,armored,20.0,7,3.62,9.5,,
365,arms,2.5,4,4.82,,0.0,0.0
367,army,5.0,4,5.06,7.15,555.0,543.0
369,arose,35.0,5,3.73,,0.0,0.0
370,around,0.0,6,5.77,,0.0,0.0
372,arranged,30.0,8,4.31,,0.0,0.0
373,arrangement,25.0,11,4.25,9.89,525.0,308.0
374,arrangements,15.0,12,4.23,,0.0,0.0
375,array,40.0,5,4.1,10.79,383.0,371.0
376,arrested,8.947368421052632,8,4.64,,0.0,0.0
377,arresting,10.0,9,3.5,,0.0,0.0
378,arrival,6.666666666666667,7,4.44,8.06,548.0,328.0
379,arrived,10.0,7,4.79,,0.0,0.0
380,arriving,6.666666666666667,8,4.16,,0.0,0.0
381,arsenic,5.0,7,3.23,11.83,0.0,0.0
382,art,7.142857142857143,3,5.29,6.21,529.0,440.0
383,arthritis,50.0,9,3.61,11.67,0.0,0.0
384,article,5.0,7,5.09,8.61,533.0,479.0
385,articles,10.0,8,4.71,,0.0,0.0
386,artifacts,40.0,9,3.72,,0.0,0.0
387,artillery,26.363636363636363,9,3.96,10.68,0.0,0.0
388,artist,3.3333333333333335,6,4.8,6.78,547.0,554.0
389,artistic,6.666666666666667,8,4.17,9.17,468.0,0.0
390,artwork,10.0,7,4.11,7.32,,
391,ashore,70.0,6,3.52,,0.0,0.0
392,aside,13.333333333333334,5,4.59,,0.0,0.0
393,asleep,20.0,6,4.36,4.47,0.0,0.0
399,assassinated,90.0,12,3.39,,0.0,0.0
400,assault,44.61538461538461,7,4.44,10.21,470.0,410.0
401,assaults,27.5,8,3.48,,0.0,0.0
402,assemblages,55.0,11,2.59,,0.0,0.0
403,assembled,30.0,9,3.96,,0.0,0.0
404,assembly,4.0,8,4.61,6.94,0.0,0.0
405,asserted,33.333333333333336,8,3.59,,0.0,0.0
406,asserting,100.0,9,3.35,,0.0,0.0
407,asserts,50.0,7,3.38,,0.0,0.0
408,assesses,60.0,8,2.93,,0.0,0.0
409,asset,13.333333333333334,5,4.23,11.79,0.0,0.0
411,assets,15.0,6,4.56,,0.0,0.0
412,assist,7.5,6,4.42,8.75,516.0,342.0
413,assistance,10.0,10,4.59,8.84,534.0,288.0
414,assisted,0.0,8,4.1,,0.0,0.0
415,assisting,9.047619047619047,9,3.79,,0.0,0.0
416,assists,20.0,7,4.03,,0.0,0.0
417,associated,5.0,10,4.89,,0.0,0.0
418,association,3.3333333333333335,11,5.01,10.76,0.0,0.0
419,assumption,35.0,10,4.07,10.2,521.0,0.0
420,assurance,70.0,9,3.81,12.33,0.0,0.0
421,assure,30.0,6,4.06,12.06,0.0,0.0
422,astronaut,12.5,9,3.6,6.28,0.0,0.0
423,asylum,33.333333333333336,6,3.99,13.1,0.0,0.0
425,atmosphere,6.0,10,4.46,9.79,540.0,385.0
426,atmospheres,20.0,11,2.89,,0.0,0.0
427,atmospheric,20.0,11,3.84,10.11,0.0,0.0
428,atoll,10.0,5,2.85,14.65,0.0,0.0
429,atoms,10.0,5,3.75,,0.0,0.0
430,atop,50.0,4,3.63,,0.0,0.0
431,atrocities,55.0,10,3.53,,0.0,0.0
433,attack,5.714285714285714,6,5.09,6.58,542.0,411.0
434,attacker,10.0,8,3.59,6.5,0.0,0.0
435,attackers,20.0,9,3.51,,0.0,0.0
436,attacking,0.0,9,4.29,,0.0,0.0
437,attacks,16.666666666666668,7,4.68,,0.0,0.0
438,attempt,11.11111111111111,7,4.85,7.7,558.0,313.0
439,attempted,12.0,9,4.42,8.7,0.0,0.0
440,attempting,0.0,10,4.27,,0.0,0.0
441,attempts,0.0,8,4.5,,0.0,0.0
442,attendance,5.0,10,4.17,7.11,0.0,0.0
443,attended,11.11111111111111,8,4.47,,0.0,0.0
444,attending,0.0,9,4.31,,0.0,0.0
445,attention,7.142857142857143,9,5.11,6.78,0.0,0.0
446,attentively,60.0,11,2.51,,0.0,0.0
447,attorney,10.0,8,4.69,10.95,0.0,0.0
448,attracted,7.5,9,4.31,,0.0,0.0
449,attracting,10.0,10,3.69,,0.0,0.0
450,attraction,15.0,10,4.11,9.61,0.0,0.0
451,attractions,10.0,11,3.9,,0.0,0.0
452,attributed,53.333333333333336,10,4.05,,0.0,0.0
453,auctioneers,55.0,11,2.78,,0.0,0.0
454,audience,6.666666666666667,8,4.73,7.0,511.0,515.0
455,audiences,40.0,9,4.02,,0.0,0.0
456,audio,0.0,5,4.47,9.32,,
457,audit,10.0,5,4.04,13.5,326.0,371.0
458,auditing,17.77777777777778,8,3.26,,0.0,0.0
459,auditorium,0.0,10,3.51,6.94,519.0,552.0
460,auditors,25.0,8,3.25,,0.0,0.0
462,austerity,50.0,9,3.41,16.79,0.0,0.0
468,author,0.0,6,4.95,7.1,554.0,502.0
470,authoritarian,66.66666666666667,13,3.59,12.95,0.0,0.0
471,authorities,17.0,11,4.63,,0.0,0.0
472,authority,5.714285714285714,9,4.81,7.5,0.0,0.0
473,autobiography,20.0,13,3.63,9.83,0.0,0.0
474,automatic,0.0,9,4.36,9.0,0.0,0.0
476,auxiliary,50.0,9,3.74,14.0,0.0,0.0
477,available,10.0,9,5.28,8.5,566.0,0.0
478,avenues,25.0,7,3.5,,0.0,0.0
479,average,3.3333333333333335,7,5.16,8.9,579.0,0.0
480,averaged,20.0,8,3.85,,0.0,0.0
481,averaging,0.0,9,3.73,,0.0,0.0
482,avert,50.0,5,3.14,10.71,0.0,0.0
484,aviation,20.0,8,4.17,10.32,0.0,0.0
485,avoid,10.0,5,4.87,8.5,0.0,0.0
486,avoiding,10.0,8,4.07,,0.0,0.0
487,await,10.0,5,3.63,9.0,456.0,0.0
488,awaiting,30.0,8,3.75,,0.0,0.0
489,awakened,53.333333333333336,8,3.3,,0.0,0.0
490,award,7.5,5,4.88,7.5,0.0,0.0
491,awarded,18.0,7,4.35,,0.0,0.0
492,awarding,10.0,8,3.4,,0.0,0.0
493,awards,5.0,6,4.71,,0.0,0.0
494,aware,10.0,5,4.78,6.75,546.0,0.0
495,away,20.0,4,5.62,,573.0,257.0
496,awoken,35.0,6,2.72,,0.0,0.0
497,axis,20.0,4,4.02,12.1,0.0,0.0
504,baa,10.0,3,2.92,,0.0,0.0
505,back,13.846153846153848,4,6.04,,587.0,540.0
506,backdrop,50.0,8,3.58,9.78,0.0,0.0
507,backed,20.0,6,4.26,,0.0,0.0
508,backers,20.0,7,3.23,,0.0,0.0
509,backlash,50.0,8,3.66,10.44,0.0,0.0
510,backpack,40.0,8,3.78,5.38,,
511,bad,11.666666666666666,3,5.53,2.79,592.0,308.0
513,bagged,100.0,6,3.18,,0.0,0.0
515,baht,7.5,4,2.94,,,
516,bail,30.0,4,4.01,10.16,485.0,441.0
517,bailout,36.0,7,3.16,,,
518,baking,20.0,6,3.92,,0.0,0.0
519,balance,7.6923076923076925,7,4.76,9.89,545.0,366.0
520,balconies,10.0,9,3.04,,0.0,0.0
522,ballot,26.25,6,4.06,8.83,453.0,455.0
525,ban,8.0,3,4.55,10.11,0.0,0.0
526,band,3.3333333333333335,4,4.92,6.16,555.0,590.0
527,bandit,10.0,6,3.37,8.15,388.0,547.0
528,bang,20.0,4,4.32,5.74,503.0,435.0
529,banged,90.0,6,3.42,,0.0,0.0
532,bank,3.0,4,5.16,6.44,573.0,573.0
534,banking,5.555555555555555,7,4.35,9.0,0.0,0.0
535,banks,6.111111111111111,5,4.69,,0.0,0.0
537,bar,6.666666666666667,3,4.94,6.9,592.0,565.0
539,barbed,45.0,6,3.27,10.0,0.0,0.0
540,barbs,45.0,5,2.81,,0.0,0.0
541,bare,15.0,4,4.18,5.78,521.0,399.0
542,barely,50.0,6,4.49,,0.0,0.0
543,bark,10.0,4,3.85,5.17,518.0,563.0
544,barometer,30.0,9,3.18,11.89,0.0,0.0
545,barons,10.0,6,3.17,,0.0,0.0
546,baroque,25.0,7,3.32,13.54,0.0,0.0
547,barracks,6.666666666666667,8,3.67,,0.0,0.0
548,barrage,100.0,7,3.39,10.19,0.0,0.0
549,barren,20.0,6,3.4,11.12,0.0,0.0
550,barrier,40.0,7,4.15,9.11,0.0,0.0
551,barrister,60.0,9,3.37,15.0,0.0,0.0
552,bars,40.0,4,4.45,,0.0,0.0
553,basal,35.0,5,3.4,11.42,0.0,0.0
554,base,3.3333333333333335,4,5.05,6.42,520.0,441.0
556,based,0.0,5,5.51,,0.0,0.0
557,bases,5.0,5,4.18,,0.0,0.0
559,basically,17.5,9,4.63,,0.0,0.0
561,bastion,2.0,7,3.31,15.35,0.0,0.0
562,battery,13.333333333333334,7,4.52,5.58,0.0,0.0
563,battle,10.0,6,4.94,6.95,537.0,564.0
564,battles,10.0,7,4.18,,0.0,0.0
565,battling,30.0,8,3.69,,0.0,0.0
567,bay,10.0,3,4.73,8.67,474.0,580.0
575,bean,10.0,4,3.98,3.42,549.0,604.0
576,bears,15.0,5,4.34,,0.0,0.0
578,beaten,10.0,6,4.21,,0.0,0.0
579,beating,13.333333333333334,7,4.43,,0.0,0.0
580,beauty,0.0,6,4.75,5.05,561.0,336.0
582,bedridden,100.0,9,2.64,11.11,0.0,0.0
583,bees,5.0,4,3.96,,0.0,0.0
585,begging,25.0,7,3.93,,0.0,0.0
586,behalf,25.0,6,4.42,,0.0,0.0
587,behaved,20.0,7,3.59,,0.0,0.0
588,behavior,12.5,8,4.69,7.05,,
590,beheaded,50.0,8,3.22,,0.0,0.0
591,behind,5.0,6,5.29,,603.0,0.0
594,belief,10.0,6,4.46,7.3,554.0,270.0
595,believe,10.0,7,5.51,5.78,0.0,0.0
596,believed,6.666666666666667,8,4.75,,0.0,0.0
597,believes,10.0,8,4.43,,0.0,0.0
599,belonged,50.0,8,4.01,,0.0,0.0
600,beloved,10.0,7,4.17,9.94,406.0,356.0
601,belt,10.0,4,4.42,4.62,550.0,602.0
602,benchmark,17.5,9,3.6,12.28,,
603,bereaved,50.0,8,2.9,12.05,0.0,0.0
605,bespoke,60.0,7,3.2,,0.0,0.0
606,best,2.5,4,5.84,,600.0,282.0
609,beyond,40.0,6,4.98,,0.0,0.0
612,bias,55.0,4,4.18,10.71,399.0,0.0
613,biblical,20.0,8,3.92,6.9,0.0,0.0
614,bid,10.0,3,4.4,9.84,473.0,364.0
615,bidder,40.0,6,3.48,9.32,0.0,0.0
618,bids,60.0,4,3.87,,0.0,0.0
620,big,10.0,3,5.67,2.89,640.0,0.0
622,bill,3.3333333333333335,4,5.15,,552.0,528.0
623,billed,15.0,6,3.59,,497.0,377.0
624,bin,0.0,3,4.22,4.68,580.0,598.0
625,binary,30.0,6,3.95,13.39,0.0,0.0
626,bind,10.0,4,3.75,10.24,0.0,0.0
627,biodiversity,70.0,12,3.47,14.47,,
628,biologist,10.0,9,3.35,10.9,0.0,0.0
629,biology,0.0,7,4.22,9.35,526.0,400.0
630,biophysicist,90.0,12,1.49,16.79,,
631,birther,10.0,7,2.34,,,
634,bishop,10.0,6,4.38,10.5,467.0,587.0
635,bite,10.0,4,4.31,3.58,593.0,509.0
636,biting,5.0,6,3.77,,0.0,0.0
638,blame,40.0,5,4.63,6.48,541.0,293.0
639,blamed,20.0,6,3.9,,0.0,0.0
640,blames,25.0,6,3.55,,0.0,0.0
641,blast,16.666666666666668,5,4.32,7.06,0.0,0.0
642,blasts,15.0,6,3.49,,0.0,0.0
643,bleeding,50.0,8,4.08,,0.0,0.0
645,blend,10.0,5,3.95,10.17,0.0,0.0
646,blessing,90.0,8,4.06,7.63,483.0,277.0
647,blew,22.5,4,4.12,,533.0,367.0
648,blind,10.0,5,4.52,7.0,531.0,443.0
649,bloc,40.0,4,3.6,,0.0,0.0
650,block,35.0,5,4.88,4.79,544.0,558.0
651,blocked,11.0,7,4.31,,0.0,0.0
652,blocking,10.0,8,4.12,,0.0,0.0
653,blog,0.0,4,4.73,16.55,,
654,blood,15.0,5,5.1,4.89,571.0,613.0
655,bloodied,15.0,8,2.75,,,
656,bloodshed,47.5,9,3.29,11.44,0.0,0.0
657,bloody,5.0,6,4.28,5.83,0.0,0.0
658,blow,10.0,4,4.59,4.0,528.0,397.0
659,blue,0.0,4,5.13,3.53,593.0,459.0
661,board,13.0,5,5.24,6.37,546.0,565.0
662,boarded,17.5,7,3.47,,0.0,0.0
663,boarding,5.0,8,3.96,9.0,0.0,0.0
664,boards,15.0,6,4.31,,0.0,0.0
665,boat,10.0,4,4.71,3.84,584.0,637.0
666,bobby,10.0,5,4.22,,0.0,0.0
667,bodies,20.0,6,4.69,,0.0,0.0
668,bog,40.0,3,3.34,9.37,0.0,0.0
669,bogs,20.0,4,2.85,,0.0,0.0
670,bold,7.5,4,4.26,9.21,0.0,0.0
672,boles,10.0,5,2.47,,0.0,0.0
673,bomb,1.6666666666666667,4,4.6,8.0,566.0,595.0
674,bombardment,62.5,11,3.34,11.37,0.0,0.0
675,bomber,0.0,6,3.88,8.84,0.0,0.0
676,bombers,30.0,7,3.79,,0.0,0.0
677,bond,18.333333333333332,4,4.59,,454.0,403.0
679,bonds,11.11111111111111,5,4.27,,0.0,0.0
680,book,10.0,4,5.43,3.68,643.0,609.0
