Unnamed: 0,Complex_Phrase,complex_percentage,frequency,length,aoa
197,commander,0.0,4.51,9,8.19
198,commanders,0.0,3.74,10,
199,commerce,0.0,4.37,8,13.44
200,commission,3.3333333333333335,4.91,10,14.72
201,commissioner,15.0,4.43,12,13.37
202,commonwealth,30.0,4.34,12,11.94
203,concerns,25.0,4.59,8,
204,concerto,0.0,3.26,8,12.89
205,conflict,25.0,4.64,8,9.58
206,congress,0.0,4.9,8,9.05
207,conscription,100.0,2.99,12,13.08
208,continental,10.0,4.02,11,11.06
209,continuing,10.0,4.48,10,
210,coordination,30.0,3.9,12,11.84
213,corporation,10.0,4.59,11,11.55
214,corridor,30.0,3.88,8,9.11
216,counsel,20.0,4.16,7,9.42
217,county,15.0,5.19,6,8.9
218,court,10.0,5.41,5,8.39
219,creatine,10.0,2.8,8,
221,criminal,3.3333333333333335,4.75,8,6.78
222,crocker,5.0,3.03,7,
223,cropper,10.0,2.53,7,11.13
224,crowds,20.0,3.87,6,
225,curling,10.0,3.51,7,9.11
226,currently,20.0,5.08,9,
236,dammar,0.0,0.0,6,
237,dangerously,20.0,3.47,11,
239,decoration,50.0,3.82,10,5.94
240,defence,8.0,4.51,7,
241,defense,20.0,4.93,7,8.8
244,democratic,0.0,4.73,10,10.22
245,demonstrations,46.666666666666664,3.78,14,
246,demonstrators,25.0,3.28,13,
247,deputies,37.77777777777778,3.71,8,
248,deputy,16.666666666666668,4.55,6,6.45
249,despite,22.727272727272727,5.0,7,
251,development,10.0,5.31,11,8.63
252,devonport,0.0,2.46,9,
254,diffraction,100.0,3.05,11,14.08
256,disciplinary,0.0,3.75,12,9.0
257,dispatch,60.0,3.76,8,11.0
259,documentary,0.0,4.31,11,11.56
260,dome,30.0,3.9,4,8.44
264,dozens,12.5,4.13,6,
268,eu,0.0,4.62,2,
270,earlier,10.0,4.98,7,
271,easter,5.0,4.12,6,
272,economic,1.0,5.1,8,12.0
273,economics,10.0,4.42,9,12.3
274,economy,5.0,4.87,7,12.56
280,election,0.0,5.08,8,9.17
281,elections,0.0,4.66,9,
282,elephants,0.0,3.81,9,
283,embassy,12.22222222222222,4.13,7,12.0
284,emirate,5.0,2.75,7,
285,emirates,10.0,3.73,8,
287,emperor,0.0,4.25,7,7.44
288,empress,15.0,3.45,7,9.61
292,especially,10.0,5.21,10,
295,eulogies,70.0,2.31,8,
298,eventually,35.0,4.88,10,
300,evolution,20.0,4.41,9,10.0
302,exclusive,30.0,4.56,9,10.16
303,exhibition,20.0,4.37,10,11.25
304,exiting,30.0,3.34,7,
305,explosion,30.0,4.22,9,7.16
306,exposition,25.0,3.59,10,14.05
307,extradition,40.0,3.28,11,13.76
313,faith,15.0,4.82,5,7.62
316,fearing,10.0,3.59,7,
317,fed,10.0,4.51,3,
318,federal,10.0,5.13,7,13.5
319,federation,20.0,4.26,10,12.17
323,festival,1.6666666666666667,4.72,8,8.39
324,fielding,10.0,3.49,8,
325,fierce,45.0,3.92,6,9.04
326,figaro,0.0,2.91,6,
328,financial,6.25,5.08,9,11.16
331,fixation,30.0,3.27,8,11.33
334,flute,10.0,3.52,5,8.47
335,foreign,2.5,5.08,7,8.74
337,fossil,50.0,3.99,6,7.5
338,foundation,0.0,4.81,10,10.94
339,foundry,20.0,3.32,7,11.6
340,fr,0.0,4.09,2,
346,furthermore,13.333333333333334,4.23,11,
355,goodyear,5.0,3.06,8,
356,google,10.0,4.86,6,
358,goths,30.0,2.76,5,
359,graham,10.0,4.3,6,
360,graves,20.0,3.87,6,
364,guild,40.0,3.93,5,12.94
378,hatch,10.0,3.82,5,7.0
382,heritage,90.0,4.36,8,9.79
387,holdings,20.0,4.0,8,
389,honesty,0.0,3.99,7,5.0
395,hundreds,0.0,4.61,8,
399,hustler,10.0,2.98,7,12.74
400,hydrogen,0.0,3.98,8,11.0
410,iv,0.0,4.38,2,
413,independence,30.0,4.58,12,8.53
414,independent,11.428571428571429,4.93,11,9.28
416,indigenous,80.0,4.16,10,13.41
418,industrial,10.0,4.71,10,10.22
420,infected,23.333333333333332,4.13,8,
421,initial,0.0,4.72,7,8.29
422,initially,10.0,4.49,9,
423,insert,25.0,4.01,6,8.2
424,institute,0.0,4.8,9,10.11
425,institution,20.0,4.41,11,10.05
426,insurgents,51.666666666666664,3.37,10,
427,intelligence,7.142857142857143,4.7,12,8.56
429,interior,22.5,4.55,8,9.32
430,internal,0.0,4.66,8,10.39
431,international,3.8461538461538463,5.36,13,8.67
433,interstate,15.0,3.99,10,9.68
434,investigating,50.0,4.08,13,
435,io,0.0,3.41,2,
441,islanders,10.0,3.45,9,
442,issued,12.5,4.73,6,
450,jihad,0.0,3.49,5,15.38
452,journal,10.0,4.77,7,8.5
453,jubilee,10.0,3.44,7,10.61
456,justice,5.0,4.97,7,9.47
462,kali,0.0,3.21,4,
468,keck,0.0,2.54,4,
471,kid,0.0,4.99,3,4.28
476,kreutzer,0.0,1.89,8,
477,krone,10.0,2.43,5,
484,laboratories,0.0,3.72,12,
485,lacrosse,0.0,3.4,8,12.94
487,latrobe,0.0,2.53,7,
489,leaf,10.0,4.22,4,4.6
490,leafs,10.0,3.56,5,
491,league,40.0,5.13,6,8.45
503,lies,20.0,4.73,4,
504,lieutenant,25.0,4.44,10,9.5
508,livable,0.0,2.8,7,8.25
514,ma,0.0,4.63,2,
520,magistrates,0.0,3.53,11,
521,magnificent,30.0,4.04,11,8.63
522,majority,9.285714285714286,4.94,8,8.94
528,management,10.0,5.13,10,10.05
530,mangled,100.0,2.94,7,
531,manilla,0.0,2.27,7,
532,manning,10.0,3.86,7,
534,maple,10.0,3.86,5,5.94
535,marine,0.0,4.53,6,9.8
539,matrix,10.0,4.07,6,14.42
543,mean,10.0,5.53,4,4.0
544,meanwhile,10.0,4.48,9,
549,medicine,3.3333333333333335,4.73,8,4.89
551,memorial,20.0,4.41,8,8.32
552,mercuric,10.0,1.72,8,12.9
553,metropolitan,20.0,4.18,12,11.59
554,midsummer,20.0,3.11,9,8.94
557,millennium,20.0,3.7,10,10.78
558,minister,0.0,5.04,8,7.42
559,missile,10.0,4.14,7,7.22
560,mobility,10.0,4.05,8,10.94
561,model,10.0,5.13,5,5.83
562,module,10.0,3.89,6,13.42
564,moments,15.0,4.62,7,
567,monuments,40.0,3.69,9,
568,moreover,5.0,4.16,8,
570,mosque,0.0,3.89,6,14.12
571,moths,40.0,3.21,5,
572,motorway,10.0,3.46,8,7.95
577,municipal,0.0,4.24,9,14.06
590,nearly,20.0,5.0,6,
596,newcomer,10.0,3.4,8,8.26
604,nomenclature,20.0,3.21,12,14.25
605,nominations,50.0,3.82,11,
606,nonetheless,80.0,4.04,11,
609,nuncio,0.0,2.3,6,
613,oasis,10.0,3.56,5,9.11
616,observatory,66.66666666666667,3.71,11,9.12
617,observers,13.75,3.77,9,
618,occasional,10.0,4.12,10,9.05
619,occasionally,20.0,4.39,12,
621,officials,2.0,4.68,9,
625,opera,30.0,4.27,5,
626,operation,10.0,4.92,9,7.84
627,opportunity,10.0,4.95,11,9.72
628,opposition,3.6666666666666665,4.57,10,11.58
629,oracle,0.0,3.7,6,11.82
630,organized,10.0,4.51,9,
631,organometallic,56.0,2.31,14,
634,originally,10.0,4.69,10,
635,orphanage,10.0,3.38,9,8.89
636,ottoman,0.0,3.62,7,10.94
637,outgoing,15.0,3.59,8,8.11
638,oxygen,0.0,4.25,6,8.63
642,paladin,0.0,2.98,7,
643,paleoanthropology,40.0,1.46,17,
644,paleontology,30.0,2.79,12,12.83
648,parish,40.0,4.11,6,10.79
649,parliament,10.0,4.74,10,12.0
651,passion,10.0,4.44,7,10.79
654,pavilion,10.0,3.62,8,10.58
656,pebbles,12.857142857142858,3.17,7,
657,pentagon,10.0,3.7,8,
660,petition,10.0,4.3,8,11.06
664,phew,10.0,3.14,4,
668,phoenix,0.0,4.21,7,
679,policy,10.0,5.17,6,10.32
681,population,16.666666666666668,5.01,10,8.11
682,portal,15.0,4.0,6,11.0
684,portrait,40.0,4.22,8,7.61
685,powered,10.0,4.25,7,
687,precious,10.0,4.33,8,7.57
688,preliminary,27.5,4.16,11,12.28
689,premiers,10.0,3.12,8,
690,president,0.0,5.45,9,6.89
691,presidential,7.272727272727272,4.52,12,8.89
693,primary,10.0,4.88,7,8.89
695,prior,10.0,4.85,5,10.63
696,prison,10.0,4.8,6,7.5
697,production,13.333333333333334,5.14,10,9.21
699,prosecutors,80.0,3.64,11,
700,protesters,33.333333333333336,4.0,10,
701,province,14.166666666666666,4.47,8,10.06
702,psychiatry,20.0,3.56,10,11.61
704,punch,10.0,4.32,5,5.75
714,quartet,0.0,3.54,7,9.0
715,queen,0.0,4.86,5,4.42
717,quintet,10.0,2.85,7,10.38
720,related,0.0,5.1,7,
725,rann,10.0,2.34,4,
728,reactive,0.0,3.54,8,10.37
729,rebels,20.0,4.07,6,
730,regime,20.869565217391305,4.3,6,13.0
731,regional,4.285714285714286,4.72,8,10.95
732,regulations,10.0,4.5,11,
733,regulators,30.0,3.59,10,
734,relational,10.0,3.23,10,11.18
735,relay,30.0,3.86,5,9.15
736,reloaded,20.0,2.91,8,
737,remarkably,20.0,3.77,10,
738,renaissance,40.0,3.87,11,11.72
740,repentant,90.0,2.49,9,10.68
741,reportedly,18.0,4.13,10,
742,representative,20.0,4.57,14,11.0
743,representatives,0.0,4.52,15,
744,reprieve,40.0,2.88,8,13.38
745,republican,3.75,4.7,10,11.28
746,republicans,0.0,4.5,11,
747,reserve,0.0,4.6,7,10.22
748,residencies,0.0,2.58,11,
749,residents,11.666666666666666,4.64,9,
750,resolve,26.666666666666668,4.17,7,11.0
751,responding,30.0,4.07,10,
753,revenue,6.666666666666667,4.64,7,11.74
754,reviewing,20.0,3.92,9,
755,revolution,60.0,4.56,10,10.0
757,riot,28.0,4.09,4,9.95
759,roanoke,0.0,3.07,7,
763,romantic,0.0,4.43,8,8.11
765,rosario,0.0,3.09,7,
768,royal,40.0,4.85,5,7.17
772,sag,0.0,3.25,3,6.95
774,swat,14.0,3.46,4,7.25
783,schistosomiasis,40.0,2.09,15,
787,scullion,10.0,2.04,8,15.0
788,secretary,0.0,4.95,9,7.75
789,sectarian,50.0,3.27,9,13.64
790,segregation,70.0,3.6,11,11.28
792,senator,3.3333333333333335,4.58,7,9.58
793,senators,10.0,4.1,8,
794,separately,10.0,4.08,10,
800,sheikh,0.0,3.6,6,
801,shelf,10.0,4.02,5,5.5
802,shelling,55.714285714285715,3.18,8,
804,sheriff,0.0,4.16,7,6.0
805,sheriffs,0.0,3.14,8,
807,shoal,36.666666666666664,2.93,5,13.07
808,shrine,90.0,3.73,6,9.63
809,shrinking,30.0,3.44,9,
810,sites,0.0,4.74,5,
811,slayer,20.0,3.45,6,11.5
817,smokey,10.0,3.27,6,
820,social,0.0,5.42,6,10.43
822,software,10.0,4.77,8,12.21
825,soul,10.0,4.81,4,6.17
826,sovereign,63.333333333333336,3.95,9,13.0
827,soviet,10.0,4.54,6,10.2
828,soviets,0.0,3.59,7,
829,species,32.0,4.85,7,8.32
830,spending,15.0,4.71,8,
834,squadron,20.0,3.69,8,13.53
835,squid,26.666666666666668,3.44,5,7.32
836,stadium,0.0,4.63,7,7.0
838,statistics,5.0,4.6,10,
839,stein,0.0,3.65,5,
841,stimulation,10.0,3.7,11,8.63
844,strait,10.0,3.6,6,11.11
845,strategy,40.0,4.74,8,8.5
846,strike,20.0,4.66,6,7.75
847,string,10.0,4.4,6,4.94
848,subsequently,75.0,4.23,12,
849,successive,50.0,3.85,10,11.89
850,suite,10.0,4.18,5,9.37
852,sumatra,0.0,3.03,7,
856,supporting,20.0,4.71,10,
858,surveillance,49.0,4.17,12,11.33
859,survivors,30.0,4.1,9,
862,sweat,10.0,4.14,5,7.26
864,symphony,23.333333333333332,3.77,8,8.33
874,tao,0.0,3.49,3,
877,team,10.0,5.67,4,6.0
884,tenancy,10.0,3.07,7,14.41
885,tensions,3.3333333333333335,3.78,8,
886,terrace,10.0,3.88,7,9.89
888,thacker,10.0,2.4,7,
895,thousands,0.0,4.77,9,
896,threat,20.0,4.6,6,7.14
898,ties,20.0,4.35,4,
903,toxic,35.0,4.24,5,9.06
904,transitional,10.0,3.64,12,12.21
905,tripoli,0.0,3.29,7,
906,trophy,10.0,4.17,6,5.55
907,trust,10.0,5.13,5,6.55
910,twitter,10.0,4.83,7,18.14
917,undersecretary,20.0,2.82,14,15.0
918,unfortunately,30.0,4.62,13,
919,unification,40.0,3.36,11,14.33
921,universal,6.666666666666667,4.49,9,10.21
923,university,0.0,5.39,10,10.72
927,valerian,6.666666666666667,2.58,8,16.0
929,vampire,10.0,4.03,7,7.16
930,variety,10.0,4.75,7,7.89
931,various,0.0,5.12,7,9.58
932,vehicles,2.857142857142857,4.62,8,
935,victims,29.0,4.56,7,
936,violence,15.909090909090908,4.75,8,6.39
943,wages,10.0,4.25,5,
945,warsaw,10.0,3.66,6,
949,westerners,0.0,3.16,10,
950,whichever,10.0,3.7,9,
957,witnesses,23.333333333333332,4.29,9,
959,wranglers,20.0,2.33,9,
963,yesterday,5.0,4.91,9,
973,zoological,0.0,3.03,10,12.45
975,abandon,70.0,4.02,7,8.32
976,abandoned,60.0,4.4,9,
977,abbreviations,90.0,3.04,13,
978,ability,0.0,4.96,7,8.84
979,aboard,60.0,4.14,6,
980,abolished,100.0,3.62,9,
981,abroad,23.333333333333332,4.39,6,
982,absent,10.0,3.98,6,6.5
983,absolutely,30.0,4.98,10,
984,absorption,30.0,3.66,10,10.94
985,abuse,40.0,4.66,5,8.61
986,abused,40.0,4.0,6,
987,abuses,50.0,3.69,6,
988,abusing,30.0,3.62,7,
989,abusive,20.0,3.87,7,9.58
990,accelerated,70.0,3.75,11,10.11
991,acceptable,10.0,4.27,10,9.84
992,accepted,10.0,4.67,8,
993,access,10.0,5.05,6,9.1
994,accessible,35.0,4.18,10,9.94
995,accident,5.0,4.71,8,5.3
996,accidental,30.0,3.82,10,6.75
997,acclaimed,90.0,3.7,9,
998,accolade,100.0,2.82,8,12.43
999,accomplishment,80.0,3.69,14,9.0
1000,accounts,5.0,4.73,8,
1001,accumulates,10.0,2.88,11,
1002,accumulation,80.0,3.59,12,10.5
1003,accusation,60.0,3.6,10,10.17
1004,accusations,100.0,3.85,11,
1005,accuse,33.333333333333336,3.71,6,9.1
1006,accused,28.26086956521739,4.46,7,
1007,accuses,25.0,3.42,7,
1008,accusing,0.0,3.74,8,
1009,achieve,0.0,4.57,7,8.53
1010,achieved,20.0,4.49,8,
1011,achievement,0.0,4.36,11,8.8
1012,achieving,30.0,4.03,9,
1013,acidic,0.0,3.34,6,11.21
1014,acknowledged,25.0,4.08,12,
1015,acknowledges,50.0,3.53,12,
1016,acquire,46.666666666666664,4.13,7,9.94
1017,acquired,42.5,4.4,8,
1018,acquiring,80.0,3.8,9,
1019,acquisition,82.85714285714286,4.26,11,13.63
1020,acquitted,70.0,3.44,9,
1022,action,0.0,5.25,6,6.67
1023,activity,20.0,4.86,8,6.47
1024,actually,3.3333333333333335,5.49,8,
1025,adamantly,100.0,2.69,9,
1026,adapt,20.0,3.98,5,9.0
1027,adaptation,50.0,4.01,10,11.39
1028,adaptations,90.0,3.38,11,
1029,addiction,40.0,4.14,9,12.11
1030,addition,3.3333333333333335,5.01,8,
1031,additional,15.0,4.98,10,9.0
1032,address,5.0,4.91,7,5.15
1033,addressed,20.0,4.26,9,
1034,adjusting,0.0,3.71,9,
1035,adjustment,10.0,3.88,10,9.74
1036,administered,60.0,3.96,12,
1037,administration,12.0,4.93,14,11.11
1038,administrations,10.0,3.35,15,
1039,administrative,12.5,4.45,14,11.5
1040,administrators,5.0,3.85,14,
1041,admins,10.0,3.04,6,
1042,admit,20.0,4.58,5,7.56
1043,admitted,16.666666666666668,4.49,8,
1044,adopt,0.0,4.19,5,7.83
1045,adopted,15.0,4.51,7,
1046,adoption,35.0,4.17,8,7.79
1047,advance,10.0,4.65,7,8.35
1048,advanced,0.0,4.71,8,9.05
1049,advancing,10.0,3.86,9,
1050,advantage,10.0,4.78,9,9.32
1051,adversary,80.0,3.29,9,12.67
1052,advertisement,10.0,3.84,13,7.67
1053,advertisements,20.0,3.75,14,
1054,advertising,7.5,4.54,11,9.95
1055,advise,0.0,4.09,6,8.89
1056,advisers,0.0,3.6,8,
1057,advocated,70.0,3.6,9,
1058,aerated,10.0,2.32,7,
1059,aerodynamics,100.0,2.93,12,11.5
1060,aerosol,30.0,3.03,7,9.47
1061,aesthetic,40.0,4.02,9,15.74
1062,affair,10.0,4.3,6,10.94
1063,affairs,20.0,4.67,7,
1064,affect,20.0,4.59,6,9.6
1065,affected,20.0,4.64,8,
1066,affecting,0.0,4.07,9,
1067,affiliated,90.0,3.96,10,
1068,afford,40.0,4.57,6,7.47
1070,afterward,30.0,3.83,9,
1072,age,10.0,5.32,3,4.38
1073,agencies,0.0,4.54,8,
1074,agency,2.5,4.87,6,10.58
1075,aggression,65.0,3.9,10,9.3
1076,aggressive,40.0,4.32,10,8.32
1077,agreed,0.0,4.84,6,
1078,agreeing,10.0,3.83,8,
1079,agreement,10.0,4.88,9,8.16
1080,agreements,40.0,4.12,10,
1081,agriculture,10.0,4.37,11,10.32
1082,ahead,20.0,5.01,5,
1083,aid,10.0,4.75,3,7.33
1084,aiding,10.0,3.44,6,
1085,aim,10.0,4.51,3,6.72
1086,aimed,13.333333333333334,4.25,5,
1087,aiming,20.0,3.89,6,
1088,air,0.0,5.37,3,3.94
1089,airborne,70.0,3.67,8,9.85
1090,aircraft,20.0,4.64,8,7.61
1091,aired,25.0,3.85,5,
1092,airlifted,85.0,2.6,9,
1093,airport,0.0,4.84,7,6.84
1094,airshow,40.0,2.58,7,
1095,airspace,40.0,3.28,8,11.5
1098,album,10.0,5.02,5,6.72
1099,alchemists,35.0,2.53,10,
1100,alchemy,50.0,3.21,7,13.35
1101,alert,10.0,4.33,5,8.9
1102,alerted,45.0,3.32,7,
1103,alias,10.0,3.46,5,9.47
1104,alighting,100.0,2.09,9,
1105,aligns,70.0,2.88,6,
1106,alkaline,30.0,3.25,8,13.68
1107,allegations,83.07692307692308,4.08,11,
1108,allege,30.0,3.18,6,12.81
1109,alleged,46.0,4.37,7,12.05
1110,allegedly,70.0,4.06,9,
1111,alleges,90.0,3.32,7,
1113,allied,40.0,4.07,6,10.85
1114,ally,10.0,4.1,4,9.61
1115,alongside,35.0,4.45,9,
1116,alter,0.0,4.05,5,9.47
1117,altered,40.0,4.02,7,
1118,altimeter,50.0,2.48,9,14.13
1119,altitude,21.428571428571427,3.92,8,9.58
1120,altitudes,60.0,3.16,9,
1121,aluminium,10.0,3.73,9,
1122,aluminum,10.0,4.01,8,7.26
1123,amalgam,100.0,2.85,7,15.25
1124,amateur,50.0,4.22,7,10.53
1126,ambassadors,0.0,3.55,11,
1127,ambitions,80.0,3.64,9,
1128,ambitious,80.0,3.95,9,11.05
1129,ambulance,10.0,4.06,9,6.16
1130,ambushed,100.0,3.21,8,
1131,amid,53.333333333333336,3.95,4,
1132,amounted,40.0,3.53,8,
1133,amusement,40.0,3.74,9,8.79
1134,amygdala,70.0,2.84,8,
1136,analysis,20.0,4.91,8,11.32
1137,analyst,26.0,4.03,7,11.75
1138,ancestors,50.0,3.98,9,
1139,anchored,52.0,3.46,8,
1140,ancient,20.0,4.68,7,8.26
1141,aneroid,40.0,1.51,7,11.8
1142,anew,45.0,3.2,4,
1143,anger,10.0,4.42,5,6.0
1144,angered,40.0,3.29,7,
1145,angled,20.0,3.27,6,
1146,annexation,100.0,3.42,10,13.85
1147,annexed,90.0,3.5,7,
1148,anniversary,20.0,4.53,11,7.33
1150,announce,15.0,4.26,8,9.48
1151,announced,12.5,4.96,9,
1152,announcement,25.0,4.31,12,7.75
1153,announces,0.0,3.94,9,
1154,announcing,11.666666666666666,3.87,10,
1155,annual,5.0,4.94,6,9.26
1156,annually,30.0,4.16,8,
1157,annul,62.5,2.49,5,12.65
1158,anode,90.0,2.86,5,15.0
1159,anonymity,90.0,3.39,9,13.44
1160,anonymous,80.0,4.17,9,10.26
1161,ant,10.0,3.86,3,4.32
1167,antiparallel,90.0,1.81,12,
1168,antivenom,80.0,2.01,9,
1169,ants,10.0,3.72,4,
1170,anxiety,60.0,4.45,7,8.17
1171,anxious,20.0,4.09,7,10.21
1172,aphid,20.0,2.39,5,10.7
1173,aphids,70.0,2.63,6,
1174,apologies,30.0,3.85,9,
1175,appalling,100.0,3.46,9,12.21
1176,apparent,20.0,4.32,8,10.25
1177,apparently,33.333333333333336,4.8,10,
1178,appeal,26.666666666666668,4.67,6,10.21
1179,appealed,77.5,3.83,8,
1180,appealing,60.0,3.95,9,
1181,appear,15.0,4.85,6,6.67
1182,appearance,30.0,4.69,10,8.83
1183,appearances,30.0,4.09,11,
1184,appeared,18.46153846153846,4.83,8,
1185,appearing,15.0,4.15,9,
1186,appears,0.0,4.84,7,
1187,appetite,80.0,3.87,8,8.83
1188,application,10.0,4.86,11,9.39
1189,applications,10.0,4.64,12,
1190,appoint,10.0,3.7,7,10.29
1191,appointed,26.666666666666668,4.59,9,
1192,approached,18.333333333333332,4.16,10,
1193,approval,20.0,4.5,8,7.95
1194,approvals,3.3333333333333335,3.13,9,
1195,approve,0.0,4.08,7,7.89
1196,approved,6.666666666666667,4.64,8,
1197,approves,10.0,3.42,8,
1198,approximately,27.5,4.64,13,
1199,arc,10.0,4.21,3,
1200,arch,10.0,4.02,4,8.26
1201,archangels,30.0,2.38,10,
1202,architect,42.5,4.08,9,10.12
1203,architectural,40.0,3.96,13,12.25
1204,architecture,30.0,4.42,12,10.06
1205,archivist,30.0,2.8,9,13.79
1206,arena,20.0,4.33,5,9.57
1207,argues,20.0,4.04,6,
1208,arguments,40.0,4.33,9,
1209,arise,20.0,3.93,5,6.89
1210,armed,0.0,4.59,5,8.72
1211,arming,10.0,3.14,6,
1212,armored,46.0,3.62,7,9.5
1214,arms,5.0,4.82,4,
1215,army,10.0,5.06,4,7.15
1216,arose,35.0,3.73,5,
1217,arranged,36.666666666666664,4.31,8,
1218,arrangement,50.0,4.25,11,9.89
1219,arrangements,25.0,4.23,12,
1220,array,40.0,4.1,5,10.79
1221,arrested,9.411764705882351,4.64,8,
1222,arresting,10.0,3.5,9,
1223,arrival,5.0,4.44,7,8.06
1224,arrived,10.0,4.79,7,
1225,arsenic,10.0,3.23,7,11.83
1226,arthritis,50.0,3.61,9,11.67
1227,articles,10.0,4.71,8,
1228,artifacts,80.0,3.72,9,
1229,artillery,48.0,3.96,9,10.68
1230,artistic,5.0,4.17,8,9.17
1231,artwork,10.0,4.11,7,7.32
1232,ashore,70.0,3.52,6,
1233,aside,13.333333333333334,4.59,5,
1234,asleep,20.0,4.36,6,4.47
1235,assassinated,90.0,3.39,12,
1236,assault,55.55555555555556,4.44,7,10.21
1237,assaults,35.0,3.48,8,
1238,assemblages,80.0,2.59,11,
1239,assembled,30.0,3.96,9,
1240,asserted,50.0,3.59,8,
1241,asserts,50.0,3.38,7,
1242,assesses,60.0,2.93,8,
1243,asset,0.0,4.23,5,11.79
1245,assets,11.818181818181818,4.56,6,
1246,assist,15.0,4.42,6,8.75
1247,assistance,10.0,4.59,10,8.84
1248,assisted,0.0,4.1,8,
1249,assisting,20.0,3.79,9,
1250,assists,20.0,4.03,7,
1251,assumption,60.0,4.07,10,10.2
1252,assurance,70.0,3.81,9,12.33
1253,assure,30.0,4.06,6,12.06
1254,astronaut,20.0,3.6,9,6.28
1255,asylum,50.0,3.99,6,13.1
1256,atmosphere,7.5,4.46,10,9.79
1257,atmospheres,20.0,2.89,11,
1258,atmospheric,40.0,3.84,11,10.11
1259,atop,50.0,3.63,4,
1260,atrocities,100.0,3.53,10,
1262,attack,5.0,5.09,6,6.58
1263,attacking,0.0,4.29,9,
1264,attacks,6.666666666666667,4.68,7,
1265,attempt,15.0,4.85,7,7.7
1266,attempted,16.666666666666668,4.42,9,8.7
1267,attempting,0.0,4.27,10,
1268,attempts,0.0,4.5,8,
1269,attendance,10.0,4.17,10,7.11
1270,attended,15.0,4.47,8,
1271,attending,0.0,4.31,9,
1272,attention,10.0,5.11,9,6.78
1273,attentively,60.0,2.51,11,
1274,attorney,10.0,4.69,8,10.95
1275,attracted,7.5,4.31,9,
1276,attracting,10.0,3.69,10,
1277,attraction,20.0,4.11,10,9.61
1278,attractions,10.0,3.9,11,
1279,attributed,80.0,4.05,10,
1280,auctioneers,100.0,2.78,11,
1281,audience,10.0,4.73,8,7.0
1282,audiences,40.0,4.02,9,
1283,audit,15.0,4.04,5,13.5
1284,auditing,46.666666666666664,3.26,8,
1285,auditors,40.0,3.25,8,
1286,austerity,70.0,3.41,9,16.79
1287,author,0.0,4.95,6,7.1
1289,authoritarian,100.0,3.59,13,12.95
1290,autobiography,20.0,3.63,13,9.83
1291,automatic,0.0,4.36,9,9.0
1292,auxiliary,80.0,3.74,9,14.0
1293,available,10.0,5.28,9,8.5
1294,avenues,40.0,3.5,7,
