Unnamed: 0,Complex_Phrase,complex_percentage,frequency,length,aoa,aoa_test_based,syllable_count
3709,reach,20.0,4.94,5,4.89,2.0,1
1598,close,0.0,5.36,5,4.5,2.0,1
5358,necessary,5.0,4.91,9,7.55,2.0,4
5357,all,0.0,6.52,3,,2.0,1
5338,lion,0.0,4.25,4,4.42,2.0,2
5339,long,13.333333333333334,5.81,4,,2.0,1
5340,time,7.5,6.29,4,5.16,2.0,1
5341,place,3.3333333333333335,5.71,5,4.95,2.0,1
5342,rich,0.0,4.91,4,6.32,2.0,1
1683,completed,10.0,4.77,9,,2.0,3
5345,account,5.0,5.21,7,8.26,2.0,2
5346,name,0.0,5.61,4,3.68,2.0,1
5347,across,10.0,5.25,6,,2.0,2
5348,acting,5.0,4.82,6,,2.0,2
5349,balance,5.0,4.76,7,9.89,2.0,2
5351,over,12.22222222222222,6.08,4,,2.0,2
5352,another,0.0,5.74,7,,2.0,3
5355,live,5.0,5.54,4,6.1,2.0,1
3764,reflect,20.0,4.39,7,9.89,2.0,2
3768,refrigerator,20.0,3.61,12,4.11,2.0,5
5076,her,5.0,6.3,3,,2.0,1
1938,deliver,20.0,4.55,7,6.63,2.0,3
5077,party,2.592592592592593,5.49,5,4.58,2.0,2
3392,path,20.0,4.71,4,6.11,2.0,1
5104,sea,3.3333333333333335,5.06,3,4.74,2.0,1
5109,police,2.5,5.33,6,5.05,2.0,2
5112,sports,5.0,4.94,6,,2.0,1
5113,course,10.0,5.44,6,,2.0,1
1922,defend,10.0,4.47,6,8.16,2.0,2
5122,man,3.3333333333333335,5.82,3,3.11,2.0,1
5129,later,10.0,5.49,5,,2.0,2
5131,more,5.0,6.36,4,,2.0,1
5140,station,12.5,5.01,7,7.11,2.0,2
5144,navy,6.666666666666667,4.57,4,7.15,2.0,2
5148,new,4.285714285714286,6.25,3,4.72,2.0,1
5075,save,5.0,5.14,4,5.44,2.0,1
5070,belt,10.0,4.42,4,4.62,2.0,1
3065,mice,13.333333333333334,4.09,4,,2.0,1
1945,denied,25.0,4.43,6,,2.0,2
5016,hockey,0.0,4.42,6,5.44,2.0,2
5018,human,0.0,5.35,5,4.83,2.0,2
5019,is,2.857142857142857,7.07,2,,2.0,1
3047,membership,5.0,4.47,10,7.78,2.0,3
3050,memory,10.0,4.81,6,6.4,2.0,3
5023,motor,0.0,4.53,5,7.42,2.0,2
1981,destroy,5.0,4.52,7,6.7,2.0,2
5030,iron,0.0,4.74,4,7.32,2.0,2
1970,design,0.0,5.17,6,10.05,2.0,2
1963,describe,17.5,4.56,8,7.67,2.0,2
5034,year,6.25,5.96,4,5.24,2.0,1
5036,style,6.0,5.11,5,7.58,2.0,1
3054,message,8.0,5.0,7,6.32,2.0,2
5053,space,2.0,5.23,5,5.67,2.0,1
5054,center,2.0,5.19,6,6.57,2.0,2
5152,meeting,7.5,5.15,7,5.72,2.0,2
1833,crash,11.666666666666666,4.55,5,6.11,2.0,1
3105,moment,10.0,5.24,6,7.95,2.0,2
5194,prize,0.0,4.59,5,,2.0,1
5195,pussy,0.0,4.24,5,9.58,2.0,2
5210,leader,0.0,4.95,6,6.9,2.0,2
5212,bridge,13.333333333333334,4.77,6,5.58,2.0,1
1826,covered,20.0,4.83,7,,2.0,2
1824,couple,10.0,5.19,6,5.75,2.0,2
5191,crown,10.0,4.56,5,7.8,2.0,1
1823,country,10.0,5.48,7,7.05,2.0,2
5214,screen,0.0,4.85,6,5.84,2.0,1
5216,general,7.5,5.47,7,8.05,2.0,3
5221,office,0.0,5.4,6,6.68,2.0,2
5222,after,6.666666666666667,6.11,5,,2.0,2
3113,monster,10.0,4.49,7,4.58,2.0,2
5226,plan,6.25,5.29,4,6.78,2.0,1
5228,do,3.3333333333333335,6.35,2,3.6,2.0,1
5238,south,10.0,5.4,5,6.06,2.0,1
5239,coast,0.0,4.87,5,6.43,2.0,1
5247,poor,0.0,5.09,4,6.11,2.0,1
5187,flag,10.0,4.58,4,5.33,2.0,1
3096,mob,50.0,4.03,3,9.67,2.0,1
1884,death,0.0,5.4,5,5.37,2.0,1
5156,not,6.666666666666667,6.69,3,,2.0,1
5157,by,4.5,6.66,2,,2.0,1
1881,deal,11.818181818181818,5.32,4,6.0,2.0,1
1876,daughter,10.0,5.07,8,4.95,2.0,2
5158,will,0.0,6.45,4,7.53,2.0,1
1872,darkness,10.0,4.3,8,4.83,2.0,2
1871,dark,0.0,5.04,4,3.74,2.0,1
5159,be,7.5,6.79,2,5.11,2.0,1
5164,order,0.0,5.49,5,6.26,2.0,2
3091,missing,10.0,5.05,7,,2.0,2
1863,curved,10.0,3.83,6,6.67,2.0,2
5166,six,0.0,5.29,3,,2.0,1
5171,down,16.458333333333332,5.88,4,,2.0,1
5177,open,14.0,5.48,4,5.0,2.0,2
3094,mistook,60.0,3.07,7,,2.0,2
1870,dangerous,0.0,4.79,9,5.6,2.0,3
5382,their,4.545454545454546,6.33,5,,2.0,1
5492,run,5.0,5.49,3,4.47,2.0,1
3675,race,10.0,5.08,4,6.0,2.0,1
5496,cloud,9.166666666666666,4.46,5,3.63,2.0,1
5498,girl,10.0,5.38,4,4.0,2.0,1
5499,night,25.0,5.61,5,3.61,2.0,1
1399,blow,10.0,4.59,4,4.0,2.0,1
5503,love,5.0,5.82,4,5.17,2.0,1
5505,deep,7.5,5.05,4,5.47,2.0,1
3211,newspaper,0.0,4.6,9,5.78,2.0,3
3213,nickname,50.0,3.91,8,6.5,2.0,2
3664,quarter,20.0,4.72,7,5.79,2.0,2
1408,boom,25.0,4.33,4,5.56,2.0,1
5491,cut,5.0,5.24,3,4.43,2.0,1
1430,breathe,10.0,4.26,7,4.11,2.0,1
5475,control,10.0,5.4,7,7.26,2.0,2
1425,branch,30.0,4.58,6,5.11,2.0,1
3195,neighbor,13.91304347826087,4.11,8,5.06,2.0,2
1424,brake,30.0,3.95,5,5.95,2.0,1
3196,neighborhood,10.0,4.5,12,6.47,2.0,3
5478,lives,0.0,5.14,5,,2.0,1
5483,cover,10.0,5.08,5,5.42,2.0,2
5510,star,10.0,5.19,4,3.89,2.0,1
3687,raise,13.333333333333334,4.75,5,6.72,2.0,1
1419,bounce,10.0,4.02,6,6.17,2.0,1
1418,bought,10.0,4.91,6,,2.0,1
3202,nest,10.0,4.07,4,5.11,2.0,1
5487,measure,15.0,4.65,7,7.53,2.0,2
5488,line,2.5,5.49,4,4.85,2.0,1
1415,bore,30.0,3.93,4,,2.0,1
5484,sound,13.333333333333334,5.15,5,3.72,2.0,1
5513,die,10.0,5.07,3,4.53,2.0,1
1393,block,10.0,4.88,5,4.79,2.0,1
5532,visit,13.75,5.04,5,5.79,2.0,2
5533,enter,5.0,4.81,5,5.67,2.0,2
1373,bill,10.0,5.15,4,,2.0,1
5536,poem,10.0,4.25,4,6.89,2.0,2
5537,equal,0.0,4.65,5,6.47,2.0,2
5540,cause,10.0,5.35,5,5.84,2.0,1
5543,honey,0.0,4.37,5,5.44,2.0,2
1367,beyond,40.0,4.98,6,,2.0,2
5544,same,0.0,5.8,4,,2.0,1
1358,believe,10.0,5.51,7,5.78,2.0,2
1357,belief,10.0,4.46,6,7.3,2.0,2
5546,travel,5.0,5.0,6,5.9,2.0,2
1346,bean,10.0,3.98,4,3.42,2.0,1
1343,battle,10.0,4.94,6,6.95,2.0,2
5548,short,10.0,5.33,5,4.32,2.0,1
5470,member,5.0,5.18,6,8.2,2.0,2
5531,ending,0.0,4.68,6,5.25,2.0,2
5527,eighth,0.0,4.2,6,,2.0,1
5514,different,10.0,5.59,9,5.5,2.0,3
5521,engine,0.0,4.84,6,6.28,2.0,2
5523,some,5.0,6.2,4,,2.0,1
1391,blind,20.0,4.52,5,7.0,2.0,1
3653,purple,10.0,4.32,6,3.6,2.0,2
1390,blew,30.0,4.12,4,,2.0,1
1386,blast,25.0,4.32,5,7.06,2.0,1
5524,inside,10.0,5.19,6,,2.0,2
1381,bite,10.0,4.31,4,3.58,2.0,1
5525,ear,0.0,4.43,3,3.63,2.0,1
5526,easily,0.0,4.91,6,,2.0,3
1389,blessing,90.0,4.06,8,7.63,2.0,2
5469,home,6.666666666666667,5.81,4,,2.0,1
1441,broadcast,26.666666666666668,4.39,9,9.3,2.0,2
5468,complete,10.0,5.1,8,6.58,2.0,2
1546,chase,20.0,4.44,5,5.53,2.0,1
5399,out,13.148148148148149,6.38,3,,2.0,1
5400,them,3.3333333333333335,6.19,4,,2.0,1
1542,charge,14.0,5.02,6,7.5,2.0,1
5402,late,12.5,5.34,4,5.28,2.0,1
3706,raw,10.0,4.53,3,7.17,2.0,1
5405,finish,5.0,4.91,6,6.32,2.0,2
3168,nails,20.0,4.04,5,,2.0,1
5407,step,10.0,5.13,4,4.11,2.0,1
5408,himself,6.666666666666667,5.25,7,,2.0,2
5410,blood,15.0,5.1,5,4.89,2.0,1
5411,well,8.0,6.03,4,,2.0,1
5412,please,10.0,5.66,6,,2.0,1
5404,training,30.0,5.18,8,8.5,2.0,2
5413,blue,0.0,5.13,4,3.53,2.0,1
3159,musical,10.0,4.51,7,7.28,2.0,3
1549,cheerfulness,60.0,2.3,12,8.15,2.0,3
1595,climate,10.0,4.71,7,7.95,2.0,2
3152,murder,4.0,4.86,6,8.79,2.0,2
5386,up,16.11111111111111,6.39,2,,2.0,1
5389,door,5.714285714285714,5.08,4,3.05,2.0,1
5391,against,1.4285714285714286,5.68,7,,2.0,2
1561,church,0.0,5.16,6,5.15,2.0,1
1548,checkerboard,30.0,2.46,12,6.74,2.0,3
5392,bad,10.592592592592592,5.53,3,2.79,2.0,1
1558,chopped,20.0,3.78,7,,2.0,2
3158,museum,15.0,4.71,6,8.55,2.0,3
1554,chief,0.0,5.11,5,7.53,2.0,1
5393,red,5.0,5.32,3,3.68,2.0,1
5394,plans,0.0,5.01,5,,2.0,1
1553,chest,10.0,4.52,5,5.05,2.0,1
5395,wire,10.0,4.43,4,4.89,2.0,1
1550,chemical,0.0,4.57,8,9.5,2.0,3
5013,high,12.5,5.75,4,4.58,2.0,1
5415,book,10.0,5.43,4,3.68,2.0,1
1518,celebrate,0.0,4.49,9,6.21,2.0,3
5443,ring,13.333333333333334,4.81,4,4.53,2.0,1
1487,cane,10.0,3.76,4,5.74,2.0,1
5444,choose,0.0,4.91,6,4.74,2.0,1
3697,range,23.333333333333332,5.12,5,7.11,2.0,1
5447,clean,10.0,4.97,5,3.89,2.0,1
5449,clearing,0.0,4.04,8,,2.0,2
5451,clearly,10.0,4.92,7,,2.0,2
5454,coffee,0.0,4.86,6,4.94,2.0,2
5456,apartment,0.0,4.65,9,7.8,2.0,3
3694,ran,10.0,4.87,3,,2.0,1
5458,come,6.666666666666667,5.78,4,3.32,2.0,1
5459,full,10.0,5.54,4,4.24,2.0,1
1469,burst,20.0,4.15,5,7.72,2.0,1
1467,burnt,20.0,4.03,5,,2.0,1
5460,circle,13.333333333333334,4.55,6,3.67,2.0,2
1459,building,10.0,5.29,8,6.16,2.0,2
5461,outside,0.0,5.25,7,,2.0,2
1455,bubble,15.0,4.16,6,3.79,2.0,2
5465,grounds,27.5,4.43,7,,2.0,1
1471,buses,10.0,4.02,5,,2.0,2
5442,child,10.0,5.3,5,,2.0,1
5441,chicken,10.0,4.63,7,3.26,2.0,2
3172,narrow,10.0,4.39,6,7.57,2.0,2
5421,point,20.0,5.54,5,4.55,2.0,1
1509,catch,20.0,4.87,5,4.61,2.0,1
5422,bring,0.0,5.27,5,4.42,2.0,1
5425,daylight,20.0,3.84,8,4.94,2.0,2
5426,broken,15.0,4.88,6,,2.0,2
5428,brown,10.555555555555555,5.01,5,,2.0,1
5429,gas,10.0,5.01,3,5.32,2.0,1
3186,nature,0.0,4.98,6,6.16,2.0,2
1502,carve,80.0,3.41,5,6.35,2.0,1
5437,his,5.555555555555555,6.51,3,,2.0,1
5439,change,0.0,5.54,6,4.26,2.0,1
4344,surprise,10.0,4.75,8,5.47,2.0,2
4347,surroundings,40.0,3.79,12,7.28,2.0,3
4349,suspect,16.666666666666668,4.51,7,8.58,2.0,2
2916,left,10.0,5.62,4,,2.0,1
4357,sweeping,75.0,3.79,8,,2.0,2
4359,switch,20.0,4.6,6,4.78,2.0,1
2477,fresh,10.0,4.83,5,6.22,2.0,1
2474,freeze,15.0,4.11,6,4.89,2.0,1
2473,freely,10.0,4.07,6,,2.0,2
2463,forward,10.0,5.12,7,,2.0,2
4387,taught,30.0,4.68,6,,2.0,1
4388,teammate,45.0,3.84,8,6.17,2.0,2
4389,tear,20.0,4.35,4,4.89,2.0,1
4399,teeth,10.0,4.58,5,,2.0,1
4400,telephone,0.0,4.41,9,4.63,2.0,3
2501,gang,20.0,4.5,4,9.22,2.0,1
2504,garbage,50.0,4.18,7,4.89,2.0,2
4339,surface,13.333333333333334,4.83,7,8.86,2.0,2
2909,leadership,10.0,4.77,10,8.74,2.0,3
2549,growth,10.0,5.03,6,6.7,2.0,1
2548,ground,5.0,5.15,6,4.89,2.0,1
4021,seat,20.0,4.82,4,4.58,2.0,1
2546,grip,10.0,4.11,4,6.7,2.0,1
4019,season,6.666666666666667,5.48,6,6.05,2.0,2
2540,grave,60.0,4.31,5,7.06,2.0,1
2904,lawn,30.0,3.98,4,5.45,2.0,1
4401,telescope,20.0,3.75,9,6.95,2.0,3
2530,governor,0.0,4.71,8,8.47,2.0,3
2528,government,1.0526315789473684,5.57,10,8.5,2.0,3
4321,sudden,10.0,4.4,6,,2.0,2
2518,gingerbread,80.0,3.03,11,6.0,2.0,3
2515,giant,5.0,4.62,5,4.72,2.0,2
2513,geography,10.0,3.98,9,8.15,2.0,4
4005,score,10.0,4.83,5,5.83,2.0,1
2908,lead,10.0,5.2,4,6.76,2.0,1
3994,scary,70.0,4.37,5,4.26,2.0,2
2445,forces,0.0,4.98,6,7.56,2.0,2
4417,terrible,35.0,4.71,8,5.56,2.0,3
2399,firing,10.0,4.27,6,,2.0,2
2397,firehouse,40.0,2.87,9,5.95,2.0,3
3961,ruler,10.0,3.84,5,5.94,2.0,2
4494,trade,10.0,5.12,5,6.42,2.0,1
2393,fire,0.0,5.3,4,3.25,2.0,1
3959,row,10.0,4.6,3,7.0,2.0,1
2390,finally,0.0,5.17,7,,2.0,3
2384,file,10.0,4.75,4,8.21,2.0,1
4492,track,10.0,5.02,5,6.94,2.0,1
4516,trash,10.0,4.42,5,4.47,2.0,1
2375,fence,25.0,4.21,5,6.28,2.0,1
2373,fell,10.0,4.85,4,,2.0,1
3954,round,10.0,5.14,5,4.75,2.0,1
4539,troop,10.0,3.69,5,8.35,2.0,1
4540,troops,13.0,4.64,6,,2.0,1
4544,troubled,26.666666666666668,3.91,8,7.21,2.0,2
2966,lone,20.0,3.91,4,8.5,2.0,1
3957,route,5.0,4.67,5,11.4,2.0,1
2891,language,0.0,5.1,8,6.79,2.0,2
2406,fit,0.0,4.95,3,5.74,2.0,1
4488,towel,10.0,3.94,5,3.22,2.0,2
2443,force,0.0,5.23,5,6.0,2.0,1
2939,light,10.0,5.33,5,4.05,2.0,1
2437,following,4.0,5.46,9,,2.0,3
3985,sat,10.0,4.64,3,,2.0,1
4426,theater,15.0,4.35,7,6.94,2.0,3
3984,sang,10.0,4.1,4,,2.0,1
4439,thousand,0.0,4.64,8,6.6,2.0,2
4490,trace,40.0,4.19,5,6.84,2.0,1
4448,threw,20.0,4.46,5,,2.0,1
2426,flight,0.0,4.86,6,7.47,2.0,1
2423,flew,18.0,4.16,4,,2.0,1
4454,thrown,20.0,4.4,6,,2.0,1
4469,tobacco,0.0,4.19,7,7.39,2.0,3
3966,running,10.0,5.23,7,,2.0,2
4472,tomorrow,10.0,5.02,8,,2.0,3
2945,limited,10.0,5.02,7,,2.0,3
4482,tough,10.0,4.77,5,5.47,2.0,1
2947,lips,10.0,4.35,4,,2.0,1
3973,sadness,20.0,3.88,7,5.0,2.0,2
4547,truthful,10.0,3.42,8,6.28,2.0,2
4025,secret,10.0,4.92,6,5.39,2.0,2
2559,gum,10.0,3.94,3,4.89,2.0,1
4149,smell,10.0,4.49,5,4.22,2.0,1
2718,inch,10.0,4.49,4,5.11,2.0,1
2708,impossible,5.0,4.78,10,7.32,2.0,4
4150,smoothly,20.0,3.68,8,,2.0,2
4158,soil,20.0,4.42,4,6.48,2.0,1
2859,judge,10.0,4.95,5,8.85,2.0,1
4170,sooner,20.0,4.25,6,,2.0,2
4179,spacecraft,60.0,3.75,10,6.85,2.0,3
4182,spear,60.0,3.7,5,7.22,2.0,1
4183,special,0.0,5.34,7,5.0,2.0,2
4192,speech,10.0,4.85,6,6.22,2.0,1
4194,spelling,10.0,4.0,8,5.86,2.0,2
2670,hunt,30.0,4.49,4,6.06,2.0,1
2669,hung,10.0,4.21,4,,2.0,1
2668,humor,0.0,4.19,5,7.17,2.0,2
4210,spread,10.0,4.81,6,5.72,2.0,1
2662,huge,20.0,5.06,4,4.9,2.0,1
2868,keeping,20.0,4.84,7,,2.0,2
4143,slipped,10.0,3.99,7,,2.0,1
4135,skyscraper,70.0,3.2,10,8.26,2.0,3
4134,skull,10.0,4.09,5,6.33,2.0,1
4085,sheet,10.0,4.4,5,5.33,2.0,1
4097,shore,20.0,4.33,5,,2.0,1
4081,sharp,13.333333333333334,4.48,5,6.11,2.0,1
4101,shot,6.666666666666667,5.22,4,5.84,2.0,1
4103,shoulder,5.0,4.5,8,4.5,2.0,2
2848,jackpot,70.0,3.5,7,7.39,2.0,2
2787,instead,14.0,5.24,7,,2.0,2
4110,sight,20.0,4.54,5,5.44,2.0,1
2657,house,10.0,5.71,5,3.16,2.0,1
2781,inspection,8.0,4.14,10,8.47,2.0,3
4113,sign,10.0,5.08,4,4.32,2.0,1
2766,ink,20.0,4.07,3,5.16,2.0,1
2850,jaw,10.0,3.98,3,5.33,2.0,1
2852,jaws,40.0,3.56,4,5.28,2.0,1
4122,silver,10.0,4.81,6,6.21,2.0,2
4126,sincere,0.0,3.84,7,8.79,2.0,2
2855,jewelry,10.0,4.12,7,6.67,2.0,3
4128,sink,30.0,4.21,4,4.47,2.0,1
2775,insect,0.0,3.76,6,4.75,2.0,2
2869,key,0.0,5.12,3,3.58,2.0,1
4217,stable,10.0,4.48,6,8.9,2.0,2
2606,held,15.0,5.24,4,,2.0,1
2605,height,0.0,4.53,6,5.42,2.0,1
2602,heavily,0.0,4.54,7,,2.0,3
2601,heaviest,20.0,3.35,8,,2.0,2
2599,heard,10.0,5.27,5,,2.0,1
2596,headquarters,15.0,4.36,12,8.72,2.0,3
4039,selection,0.0,4.62,9,7.21,2.0,3
4034,seeing,10.0,5.04,6,,2.0,2
4278,strength,10.0,4.8,8,6.21,2.0,1
2607,helicopter,5.0,4.13,10,5.26,2.0,4
2586,hard,10.0,5.53,4,4.39,2.0,1
4282,stretch,20.0,4.35,7,5.47,2.0,1
2584,harbor,60.0,4.15,6,8.28,2.0,2
2578,hang,20.0,4.6,4,6.68,2.0,1
2573,handful,10.0,4.11,7,6.42,2.0,2
2571,hall,10.0,4.87,4,5.35,2.0,1
2565,gunshot,0.0,3.49,7,6.78,2.0,2
2609,helmet,0.0,4.02,6,5.71,2.0,2
4053,separate,5.714285714285714,4.83,8,6.63,2.0,3
2653,host,23.333333333333332,4.77,4,8.05,2.0,1
2649,hospital,0.0,5.07,8,5.55,2.0,3
2646,horn,10.0,4.14,4,4.84,2.0,1
2641,honor,23.333333333333332,4.69,5,7.89,2.0,2
2874,knock,15.0,4.35,5,4.63,2.0,1
4224,stalk,20.0,3.46,5,8.22,2.0,1
2636,hole,10.0,4.66,4,5.05,2.0,1
4229,stand,15.0,5.14,5,4.39,2.0,1
4266,stock,5.0,4.93,5,9.22,2.0,1
4236,start,10.0,5.56,5,4.37,2.0,1
2631,hit,10.0,5.37,3,4.75,2.0,1
2630,history,10.0,5.39,7,6.42,2.0,3
2625,hill,10.0,4.82,4,3.47,2.0,1
2624,hike,30.0,3.95,4,9.4,2.0,1
2617,hidden,50.0,4.53,6,,2.0,2
4554,twentieth,20.0,3.8,9,,2.0,3
2353,farewell,44.0,3.89,8,8.43,2.0,3
2123,drive,5.0,5.13,5,5.26,2.0,1
4901,car,8.75,5.45,3,3.37,2.0,1
2120,drill,80.0,4.09,5,7.14,2.0,1
2117,drawing,20.0,4.58,7,,2.0,2
4907,china,0.0,5.1,5,,2.0,2
4909,fishing,2.857142857142857,4.47,7,4.72,2.0,2
3034,material,0.0,4.95,8,8.06,2.0,4
4912,law,11.818181818181818,5.46,3,8.33,2.0,1
2116,draw,20.0,4.81,4,4.11,2.0,1
4913,city,2.5,5.61,4,6.56,2.0,2
4918,cold,20.0,5.02,4,3.95,2.0,1
4919,war,7.916666666666667,5.46,3,7.67,2.0,1
4925,on,5.333333333333333,6.91,2,,2.0,1
4900,champ,10.0,3.9,5,7.53,2.0,1
4890,the,3.84,7.73,3,,2.0,1
4884,an,1.8571428571428572,6.53,2,,2.0,1
4850,football,15.0,5.11,8,4.84,2.0,2
4853,best,2.5,5.84,4,,2.0,1
2136,dust,10.0,4.41,4,5.06,2.0,1
4855,second,3.3333333333333335,5.63,6,4.68,2.0,2
3033,mate,15.0,4.55,4,8.67,2.0,1
4856,driver,2.5,4.75,6,4.95,2.0,2
4858,king,10.0,5.17,4,5.42,2.0,1
4861,rat,10.0,4.17,3,5.11,2.0,1
2102,doorstep,40.0,3.5,8,6.11,2.0,2
4866,state,11.25,5.78,5,6.39,2.0,1
2129,dry,10.0,4.74,3,4.11,2.0,1
2128,drove,10.0,4.36,5,,2.0,1
4880,group,6.666666666666667,5.57,5,5.94,2.0,1
4882,said,5.0,6.01,4,,2.0,1
2125,drop,10.0,4.99,4,3.26,2.0,1
4927,street,10.0,5.28,6,4.58,2.0,1
4928,crime,6.5,4.89,5,7.67,2.0,1
2057,disgraceful,90.0,3.33,11,9.1,2.0,4
4991,with,6.923076923076923,6.85,4,,2.0,1
3832,reporter,0.0,4.35,8,8.11,2.0,3
2046,discovery,16.0,4.45,9,7.84,2.0,4
4996,green,7.5,5.13,5,3.79,2.0,1
4997,village,8.75,4.82,7,7.84,2.0,2
5003,guard,10.0,4.73,5,6.25,2.0,1
4989,grand,4.571428571428571,4.91,5,6.68,2.0,1
2022,dinosaur,0.0,3.77,8,4.91,2.0,3
2018,digger,50.0,3.17,6,,2.0,2
5009,wolf,0.0,4.35,4,4.5,2.0,1
5010,pack,0.0,4.66,4,6.55,2.0,1
2015,difficult,4.0,5.07,9,5.85,2.0,3
2014,diet,0.0,4.57,4,9.25,2.0,2
5011,daily,10.0,5.07,5,6.0,2.0,2
5012,health,2.5,5.44,6,7.56,2.0,1
2019,digging,50.0,3.99,7,,2.0,2
4843,banking,5.0,4.35,7,9.0,2.0,2
4984,in,4.7988505747126435,7.27,2,,2.0,1
4929,was,5.0,6.82,3,,2.0,1
4930,into,8.0,6.11,4,,2.0,2
4945,at,2.2222222222222223,6.7,2,,2.0,1
2089,divide,0.0,4.12,6,7.16,2.0,2
4960,earth,5.0,5.06,5,5.37,2.0,1
4961,eastern,6.25,4.78,7,8.61,2.0,2
4972,service,2.5,5.49,7,8.0,2.0,2
4976,one,3.75,6.47,3,,2.0,1
4978,fox,0.0,4.66,3,,2.0,1
4970,whose,0.0,5.07,5,,2.0,1
4842,area,7.857142857142857,5.46,4,6.58,2.0,3
4841,news,4.444444444444445,5.44,4,6.16,2.0,1
4839,baa,10.0,2.92,3,,2.0,1
2300,expert,10.0,4.56,6,9.63,2.0,2
4699,wave,5.0,4.62,4,4.26,2.0,1
3944,roll,10.0,4.75,4,4.47,2.0,1
4704,weakness,10.0,4.19,8,8.44,2.0,2
4714,weight,0.0,5.02,6,6.53,2.0,1
3940,rocket,10.0,4.31,6,5.63,2.0,2
4720,wheat,10.0,4.01,5,6.53,2.0,1
3935,roadside,10.0,3.45,8,8.26,2.0,2
4730,wild,10.0,4.8,4,6.11,2.0,1
4696,watchdog,63.333333333333336,3.19,8,9.39,2.0,2
4731,willing,5.0,4.72,7,8.58,2.0,2
4738,winning,10.0,4.98,7,,2.0,2
4747,won,10.0,5.2,3,,2.0,1
4753,worst,16.0,4.93,5,,2.0,1
4754,worth,15.0,5.16,5,,2.0,1
3921,ride,10.0,4.85,4,4.67,2.0,1
2239,escape,20.0,4.64,6,6.6,2.0,2
2269,except,15.0,5.02,6,,2.0,2
4762,written,10.0,5.09,7,,2.0,2
4692,warning,0.0,4.59,7,6.11,2.0,2
4685,wake,6.666666666666667,4.76,4,5.63,2.0,1
2344,fallen,15.0,4.39,6,,2.0,2
2343,fall,10.0,5.13,4,4.71,2.0,1
2341,fair,0.0,4.99,4,5.67,2.0,1
4596,unnamed,20.0,3.57,7,8.71,2.0,3
4610,upper,10.0,4.72,5,7.56,2.0,2
4613,upwards,20.0,3.75,7,,2.0,2
4622,usher,90.0,3.51,5,9.35,2.0,2
2308,explore,50.0,4.31,7,7.06,2.0,2
3951,rotate,15.0,3.58,6,7.89,2.0,2
3949,rose,10.0,4.82,4,6.11,2.0,1
2991,mad,20.0,4.74,3,3.55,2.0,1
4654,victory,15.0,4.73,7,7.53,2.0,3
3948,roof,20.0,4.55,4,5.0,2.0,1
4665,violin,0.0,3.74,6,7.45,2.0,2
2316,express,20.0,4.68,7,8.8,2.0,2
4683,wagon,10.0,3.9,5,5.22,2.0,2
3950,rot,20.0,3.7,3,7.57,2.0,1
3019,market,0.0,5.29,6,7.16,2.0,2
